#Format:      
#Parameter    MagSys|Instrument|Band    RestLamb             Phase    dmu/dP                     dmB/dP                     ds/dP                     dc/dP                      
Zeropoint     VEGAHST|UVOT|UVOT_v       5389.389592986838    All      2.037251362480108          0.37521803111753016        0.5745273659003839        -0.5157404176658715        
Zeropoint     VEGAHST|UVOT|UVOT_u       3460.671294266636    All      -0.699993547439566         0.1955513530631947         0.14566416395322468       0.2982087592717761         
Zeropoint     VEGAHST|UVOT|UVOT_b       4337.859787561445    All      -0.3471996023850392        0.4292773620073298         -0.7168363686117812       0.2209349778151645         
Check         All|All|All               All                  All      0.990058212655503          1.0000467461880547         0.0033551612418273313     0.0034033194210690565      
Lambda        VEGAHST|UVOT|UVOT_v       5389.389592986838    All      0.0006985793302961427      5.926839853088756e-05      -0.0007529752493974433    -0.0002418464302712394     
Lambda        VEGAHST|UVOT|UVOT_u       3460.671294266636    All      -0.00019259579972091524    -1.5381595356803618e-05    -0.0005304535096410256    3.405279268511112e-05      
Lambda        VEGAHST|UVOT|UVOT_b       4337.859787561445    All      -0.00040171458787017817    -0.00014801679883714907    -0.002495546305616337     -2.8727053692641416e-05    
MWEBV         All|All|All               All                  All      -1.5400622194208418        -3.8941035905826205        0.21790140542413794       -0.7570647813090138        
Redshift      All|All|All               All                  All      0.38004965969223936        0.21344100928120113        0.15841347821531443       -0.04720065273470364       
