Salt2Model
BEGIN_OF_FITPARAMS Salt2Model
DayMax 56436.999199320926 0.12033365313823698
Redshift 0.00924 0 F
Color 0.12857302777647334 0.0207214566288034
X0 0.05554190892740441 0.0011962304882469994
X1 -0.19283612921713028 0.18209078513541704
RestFrameMag_0_UX 13.55540261732756 0.0
RestFrameMag_0_B 13.781159013255085 0.023383977529883512
RestFrameMag_0_V 13.629060035805894 0.0
RestFrameMag_0_R 13.565603497890512 0.0
CovDayMaxDayMax 0.01448018807759353 -1
CovDayMaxRestFrameMag_0_B 0.0001441922885383513 -1
CovDayMaxX1 -0.0012741221437185292 -1
CovDayMaxColor 0.0001875219456454586 -1
CovRestFrameMag_0_BDayMax 0.00014419228853835127 -1
CovRestFrameMag_0_BRestFrameMag_0_B 0.0005468104051180971 -1
CovRestFrameMag_0_BX1 0.002926021544859621 -1
CovRestFrameMag_0_BColor 0.0002357574828545219 -1
CovX1DayMax -0.0012741221437185294 -1
CovX1RestFrameMag_0_B 0.002926021544859621 -1
CovX1X1 0.03315705403123262 -1
CovX1Color 0.000819577799508271 -1
CovColorDayMax 0.00018752194564545857 -1
CovColorRestFrameMag_0_B 0.000235757482854522 -1
CovColorX1 0.0008195777995082718 -1
CovColorColor 0.00042937876481938036 -1

dmu_estimate 0.06229569469835683
FirstPhase  -8.101739250254123
LastPhase  26.677698742691227
LatestNegPhase  -0.2082748612113574
EarliestPosPhase  2.294697672579189
NightsNegPhase  4
NightsPosPhase  9

salt3source   1
salt2_version   salt3-f22
