#Format:      
#Parameter    MagSys|Instrument|Band    RestLamb             Phase    dmu/dP                     dmB/dP                    ds/dP                     dc/dP                     
Zeropoint     VEGAHST|UVOT|UVOT_v       5389.389592986838    All      2.066675324637964          0.36374925788855705       0.5954269358014075        -0.5281278750959656       
Zeropoint     VEGAHST|UVOT|UVOT_u       3460.671294266636    All      -0.58560507871226          0.17361937116531223       0.04371410737740167       0.2492551409082333        
Zeropoint     VEGAHST|UVOT|UVOT_b       4337.859787561445    All      -0.4735879989848288        0.457958326818364         -0.65070453168391         0.2743973306066766        
Check         All|All|All               All                  All      1.0074822469408755         0.9953269558722333        -0.011563488505100805     -0.0044754035810556925    
Lambda        VEGAHST|UVOT|UVOT_v       5389.389592986838    All      0.0010144472908712129      5.349349402949752e-05     -0.0010697453863106978    -0.0003607520895004173    
Lambda        VEGAHST|UVOT|UVOT_u       3460.671294266636    All      -0.00038438940415912263    5.862574464251397e-05     -0.0005124178169807433    0.00012143775500823282    
Lambda        VEGAHST|UVOT|UVOT_b       4337.859787561445    All      -0.0005068359746880134     -7.253486219011406e-05    -0.0024833039545908513    3.064771033190643e-05     
MWEBV         All|All|All               All                  All      -1.4839587140407051        -3.8970300998685037       0.17904724570338704       -0.7780266818131709       
Redshift      All|All|All               All                  All      0.05540858462161774        -0.39274947441318986      0.7396814641090182        -0.1129712372807401       
