#Format:      
#Parameter    MagSys|Instrument|Band    RestLamb             Phase    dmu/dP                    dmB/dP                    ds/dP                      dc/dP                      
Zeropoint     AB|PS|PS_z                6722.390138466817    All      1.4487999300049013        -0.11939003455179176      3.886399892374628          -0.3373788857659182        
Zeropoint     AB|PS|PS_r                4829.360880562028    All      0.0809474423387655        0.49390405183107333       0.7730700503056225         0.1690121193433805         
Zeropoint     AB|PS|PS_i                5849.401953408663    All      0.04207844828746443       0.21043573239811764       -5.309087422733398         -0.18208068169505617       
Zeropoint     AB|PS|PS_g                3802.849638185935    All      -0.5790931136951415       0.40509025481032523       0.6473338151792621         0.34946843686808654        
Check         All|All|All               All                  All      0.9927327069359896        0.9900400044877244        -0.0022836648738863152     -0.0009790112495073333     
Lambda        AB|PS|PS_z                6722.390138466817    All      -0.0016028365049866335    0.0001392815652145534     -0.004314377764138824      0.000374934305053475       
Lambda        AB|PS|PS_r                4829.360880562028    All      -6.627337915879756e-06    -2.427559170102853e-05    -0.00026010547680350104    -1.7355929676621638e-05    
Lambda        AB|PS|PS_i                5849.401953408663    All      0.00012534545381535036    -1.010688035210901e-05    0.0022007189877047357      5.4086699396771804e-05     
Lambda        AB|PS|PS_g                3802.849638185935    All      -0.0007097091111250044    0.0005373961965968882     0.0012733099556465882      0.0004630452024903828      
MWEBV         All|All|All               All                  All      -0.4718433249139471       -2.9321492220990564       0.07399964657755193        -0.7981003080143274        
Redshift      All|All|All               All                  All      7.974009036389104         -0.45241529739321606      17.942279350018744         -1.944082105156271         
