#Format:      
#Parameter    MagSys|Instrument|Band    RestLamb             Phase    dmu/dP                    dmB/dP                    ds/dP                     dc/dP                     
Zeropoint     AB|PS|PS_z                6722.390138466817    All      1.4015932857074818        -0.0960677603959681       3.8509796965163803        -0.3159859373552787       
Zeropoint     AB|PS|PS_r                4829.360880562028    All      0.1812851359511793        0.47612813123016906       0.9441863655746369        0.13817476461326222       
Zeropoint     AB|PS|PS_i                5849.401953408663    All      0.06494502201816599       0.18998863148915746       -5.398532905821081        -0.20018091160472207      
Zeropoint     AB|PS|PS_g                3802.849638185935    All      -0.6577719622471081       0.42192223181665156       0.5908550878617177        0.37805906876248047       
Check         All|All|All               All                  All      0.9900514814297188        0.99197123414001          -0.012511755868346186     6.698441574193303e-05     
Lambda        AB|PS|PS_z                6722.390138466817    All      -0.0015995874306121579    0.0001109121997100999     -0.004437556415866154     0.00035913824148162696    
Lambda        AB|PS|PS_r                4829.360880562028    All      -3.83710842493095e-06     -6.64460703317814e-05     -0.0004207015547330761    -3.916777684211136e-05    
Lambda        AB|PS|PS_i                5849.401953408663    All      0.00014186937140693223    -1.653520606237209e-05    0.002665179797169692      6.733715138206629e-05     
Lambda        AB|PS|PS_g                3802.849638185935    All      -0.0007737448108281846    0.000471649153312513      0.0007066961107273363     0.0004372023880489716     
MWEBV         All|All|All               All                  All      -0.47498251308132433      -2.9278910294431526       0.09348310360313139       -0.7948212805108142       
Redshift      All|All|All               All                  All      8.55543035334253          -0.03843500751177231      20.410486746493522        -1.8884783962816578       
