#Format:      
#Parameter    MagSys|Instrument|Band    RestLamb              Phase    dmu/dP                    dmB/dP                    ds/dP                     dc/dP                     
Zeropoint     AB|PS|PS_r                5476.2410616688885    All      0.5822709954693368        0.35630863689544157       -0.7812324407054203       -0.10846618988616867      
Zeropoint     AB|PS|PS_i                6632.913951904718     All      0.9366275692909775        -0.11914005136421935      0.07566697369564963       -0.34052157826022567      
Zeropoint     AB|PS|PS_g                4312.231339721892     All      -0.942803168987845        0.8053350560011552        0.2451057938224063        0.580364077766342         
Zeropoint     AB|PS|PS_z                7622.836607014082     All      0.42185179542263573       -0.044044393022524275     0.4644449240444607        -0.13103167226419182      
Check         All|All|All               All                   All      0.9979471911951049        0.9984592485098531        0.003985250857096334      0.0003446373557558502     
Lambda        AB|PS|PS_r                5476.2410616688885    All      0.00010445795560474936    2.6615735978489526e-05    -0.0009885554658148172    -6.94704620335146e-05     
Lambda        AB|PS|PS_i                6632.913951904718     All      -0.0003565205511898131    3.348522498208746e-05     -0.0003246998465897957    0.00011254784924726338    
Lambda        AB|PS|PS_g                4312.231339721892     All      -0.0004955782913678394    0.00022875302615099003    -0.0010761578394518714    0.00018791455814785765    
Lambda        AB|PS|PS_z                7622.836607014082     All      -3.445200701655389e-05    2.4504883296502553e-06    -3.162109138548574e-05    1.060925271218e-05        
MWEBV         All|All|All               All                   All      -0.5687811848324591       -3.5244316810649323       0.07696221110765794       -0.9593181346289004       
Redshift      All|All|All               All                   All      3.609317953798055         0.965690894665272         3.2470928050736245        -0.7162134673738426       
