#Format:      
#Parameter    MagSys|Instrument|Band    RestLamb              Phase    dmu/dP                    dmB/dP                     ds/dP                      dc/dP                     
Zeropoint     AB|PS|PS_r                5476.2410616688885    All      0.6455580862193618        0.3516015531731753         -0.5197429499646633        -0.11894505445972162      
Zeropoint     AB|PS|PS_i                6632.913951904718     All      0.9057196747330877        -0.09826530315262261       0.16644208916125613        -0.3196033914236541       
Zeropoint     AB|PS|PS_g                4312.231339721892     All      -0.9955716033100991       0.7934007504710294         -0.05717166593584011       0.5801758421980191        
Zeropoint     AB|PS|PS_z                7622.836607014082     All      0.4408267043156603        -0.04937633166193223       0.402791016258619          -0.14170054291536213      
Check         All|All|All               All                   All      0.9965328619580104        0.9973606688296499         -0.007681510480628262      -7.314660071874868e-05    
Lambda        AB|PS|PS_r                5476.2410616688885    All      8.822143518098181e-05     1.2335222722986792e-05     -0.0010380580294055326     -7.104239820408893e-05    
Lambda        AB|PS|PS_i                6632.913951904718     All      -0.000249103541145454     2.95532457038666e-05       -0.00011821400452568864    8.549233492811117e-05     
Lambda        AB|PS|PS_g                4312.231339721892     All      -0.0005123763356364138    0.00021527286746711262     -0.0012168638908606505     0.00018271623780313266    
Lambda        AB|PS|PS_z                7622.836607014082     All      -1.278837821038087e-06    -1.2497578940886994e-06    1.7501720792925384e-05     7.904937054007054e-07     
MWEBV         All|All|All               All                   All      -0.5655164978398699       -3.526445074584217         0.06978155916927964        -0.9613578186117772       
Redshift      All|All|All               All                   All      3.1713966583621156        1.2617011010588541         2.3195918411479832         -0.5185379397609081       
