#Format:      
#Parameter    MagSys|Instrument|Band                   RestLamb             Phase    dmu/dP                    dmB/dP                    ds/dP                      dc/dP                      
Zeropoint     Linear_AB11_off|SWOPE|SWOPE_V-LC-9844    5356.108867055929    All      0.65085843661752          0.20808154852201          -0.10794993486736015       -0.14904430917665745       
Zeropoint     Linear_AB11_off|SWOPE|SWOPE_u            3583.178968176627    All      -0.29383321657667844      0.12360071080825819       -0.07747355412102419       0.1325146744203115         
Zeropoint     Linear_AB11_off|SWOPE|SWOPE_g            4789.735387526708    All      -0.15837781929422418      0.4833199023060786        0.11916695852347281        0.21433993319805167        
Zeropoint     Linear_AB11_off|SWOPE|SWOPE_B            4384.573113346449    All      -0.5314673182092412       0.36044397881180856       -0.0543658814942255        0.2880987528522283         
Zeropoint     Linear_AB11_off|SWOPE|SWOPE_i            7580.557157225798    All      0.30982824454151847       -0.058557906360334755     0.06347663463430464        -0.11716281822702068       
Zeropoint     Linear_AB11_off|SWOPE|SWOPE_r            6200.088167912591    All      1.0265743185801526        -0.11815317745149656      0.06235441631903538        -0.37009281465665844       
Check         All|All|All                              All                  All      1.0035826456590473        0.998735056636324         0.005208638994202985       -0.0013465815897450994     
Lambda        Linear_AB11_off|SWOPE|SWOPE_V-LC-9844    5356.108867055929    All      0.0003845151761487843     8.026540670110731e-05     -0.001338897383803189      -0.00015885300033508597    
Lambda        Linear_AB11_off|SWOPE|SWOPE_u            3583.178968176627    All      -0.0008312047686747921    0.0002759816446312047     -0.0002628950717931777     0.00034891524054408193     
Lambda        Linear_AB11_off|SWOPE|SWOPE_g            4789.735387526708    All      -0.0002248903805658513    0.00010187564193196427    -0.0011322684682399668     5.5910502393791565e-05     
Lambda        Linear_AB11_off|SWOPE|SWOPE_B            4384.573113346449    All      -0.0005128057490676123    0.00021680915265821166    -0.0006625572271427358     0.00020809269107728635     
Lambda        Linear_AB11_off|SWOPE|SWOPE_i            7580.557157225798    All      -5.570038729606177e-05    6.39092830996408e-06      -9.981550453250585e-05     1.577087670523536e-05      
Lambda        Linear_AB11_off|SWOPE|SWOPE_r            6200.088167912591    All      1.9637596042814546e-05    -7.195997531423059e-06    -0.00029357664345793476    -2.1841561474910317e-05    
MWEBV         All|All|All                              All                  All      -1.0897453616611945       -4.015156663789643        -0.01578046530741617       -0.953606913965982         
Redshift      All|All|All                              All                  All      6.959779363430327         -1.2348231700548773       9.635797073177994          -2.239250271811016         
