#Format:      
#Parameter    MagSys|Instrument|Band                   RestLamb             Phase    dmu/dP                     dmB/dP                    ds/dP                      dc/dP                      
Zeropoint     Linear_AB11_off|SWOPE|SWOPE_V-LC-9844    5356.108867055929    All      0.6852714770638565         0.21445445332672897       -0.07812873445686545       -0.15684712063769318       
Zeropoint     Linear_AB11_off|SWOPE|SWOPE_u            3583.178968176627    All      -0.3322050598231402        0.12571849265627932       -0.08755638612954876       0.14525352689891574        
Zeropoint     Linear_AB11_off|SWOPE|SWOPE_g            4789.735387526708    All      -0.19232362417298465       0.4647614015008461        0.06675502913813552        0.21701318067288447        
Zeropoint     Linear_AB11_off|SWOPE|SWOPE_B            4384.573113346449    All      -0.535111357677054         0.33043202428784113       -0.10397693009075618       0.27729594219624154        
Zeropoint     Linear_AB11_off|SWOPE|SWOPE_i            7580.557157225798    All      0.3036937588441614         -0.04930888821412793      0.0901801415699104         -0.11096025005316339       
Zeropoint     Linear_AB11_off|SWOPE|SWOPE_r            6200.088167912591    All      1.0646711777496651         -0.08788471594449732      0.11271336134457634        -0.370395492895751         
Check         All|All|All                              All                  All      0.9939963719845044         0.9981727676130703        -1.351862454812558e-05     0.0013597861814341194      
Lambda        Linear_AB11_off|SWOPE|SWOPE_V-LC-9844    5356.108867055929    All      0.0002577742809469236      5.3083215157087425e-05    -0.0013657932910010255     -0.00012762369597947123    
Lambda        Linear_AB11_off|SWOPE|SWOPE_u            3583.178968176627    All      -0.0007024839142342021     0.00019928719912189278    -0.00040531659529854       0.0002756491009121156      
Lambda        Linear_AB11_off|SWOPE|SWOPE_g            4789.735387526708    All      -0.00021916529223598675    7.134501535432057e-06     -0.0012674344795026154     1.715350816923794e-05      
Lambda        Linear_AB11_off|SWOPE|SWOPE_B            4384.573113346449    All      -0.0003962404952010887     0.00014816551198987523    -0.0006727031539403819     0.00014731129482121552     
Lambda        Linear_AB11_off|SWOPE|SWOPE_i            7580.557157225798    All      -6.763759166097862e-05     8.458459796755657e-06     -0.00010721225505674196    2.000259691041063e-05      
Lambda        Linear_AB11_off|SWOPE|SWOPE_r            6200.088167912591    All      -0.00013005280138701143    1.778578338306184e-05     -0.00040298511005346094    3.017251618656323e-05      
MWEBV         All|All|All                              All                  All      -1.0815773347481246        -4.019302372899869        -0.02014088978581222       -0.9578124886164173        
Redshift      All|All|All                              All                  All      7.42588194999316           -0.1603004511522066       10.837159029395679         -1.9874565518300191        
