#Format:      
#Parameter    MagSys|Instrument|Band    RestLamb              Phase    dmu/dP                     dmB/dP                     ds/dP                     dc/dP                     
Zeropoint     AB|SDSS|SDSS_r            5296.56762132593      All      0.9031324716126269         0.4191589211714586         0.19967081318905677       -0.14873571629780702      
Zeropoint     AB|SDSS|SDSS_g            4053.3889479769055    All      -0.8197241542201795        0.4972756359704178         -0.6226356341420658       0.401204790981477         
Zeropoint     AB|SDSS|SDSS_u            3082.547774505221     All      -0.08907519327666472       0.04032485722511581        0.08903784226261813       0.0461232035478043        
Zeropoint     AB|SDSS|SDSS_i            6423.013986596161     All      0.924942638594727          0.04166059133332567        0.27743958961159443       -0.2753331672588316       
Zeropoint     AB|SDSS|SDSS_z            7636.428216270955     All      0.07580110965444539        0.001037983757257166       0.06507659445438296       -0.02144874021398624      
Check         All|All|All               All                   All      0.9950768723649551         0.999457989457575          0.008589205375586495      0.001810370758656421      
Lambda        AB|SDSS|SDSS_r            5296.56762132593      All      4.2839453058861695e-05     4.554127634607586e-05      -0.0013321926339530743    -5.856956598187525e-05    
Lambda        AB|SDSS|SDSS_g            4053.3889479769055    All      -0.0005445230527656095     0.00022276525599403314     -0.0009565358092952889    0.00020724524523980066    
Lambda        AB|SDSS|SDSS_u            3082.547774505221     All      -4.479027637339743e-05     2.597370948634421e-05      7.932414406331976e-05     2.6590030487432072e-05    
Lambda        AB|SDSS|SDSS_i            6423.013986596161     All      -0.0004753590111083971     -4.519733901995576e-05     -0.0007807031812624553    0.00010527861115813842    
Lambda        AB|SDSS|SDSS_z            7636.428216270955     All      -4.6826765940339055e-06    -1.2802744617126101e-06    -1.832611090613028e-05    2.9046414924477117e-07    
MWEBV         All|All|All               All                   All      -0.7717662882159271        -3.2757182226154313        0.2509330842290103        -0.804421531550531        
Redshift      All|All|All               All                   All      6.446134916992884          0.043864304410590194       2.6267941944207784        -1.9682084064972794       
