#Format:      
#Parameter    MagSys|Instrument|Band    RestLamb              Phase    dmu/dP                     dmB/dP                     ds/dP                      dc/dP                     
Zeropoint     AB|SDSS|SDSS_r            5296.56762132593      All      0.8245041284309219         0.3940038776367061         -0.039305003876798555      -0.14198209652291116      
Zeropoint     AB|SDSS|SDSS_g            4053.3889479769055    All      -0.8508421406593666        0.5651507030437486         -0.30289455447677044       0.44771866115302855       
Zeropoint     AB|SDSS|SDSS_u            3082.547774505221     All      -0.07329588396131057       0.037856392478197165       0.08716671107950894        0.040095803210879626      
Zeropoint     AB|SDSS|SDSS_i            6423.013986596161     All      0.9805863472929932         0.004252156661976869       0.13385713750196424        -0.31205073706620434      
Zeropoint     AB|SDSS|SDSS_z            7636.428216270955     All      0.1122949132293342         -0.0008666682143498861     0.12811905112546715        -0.031143085159444656     
Check         All|All|All               All                   All      0.9932473643325723         1.0003964616062788         0.006943341353371324       0.002638545615348025      
Lambda        AB|SDSS|SDSS_r            5296.56762132593      All      0.00014287076469427144     6.400032928256634e-05      -0.0013352711193726624     -8.527771295301625e-05    
Lambda        AB|SDSS|SDSS_g            4053.3889479769055    All      -0.0007340803319890056     0.000363540443403902       -0.0009636944640113015     0.0003145259393561431     
Lambda        AB|SDSS|SDSS_u            3082.547774505221     All      -6.05689120491984e-05      3.32158837606356e-05       9.405535868270189e-05      3.4746052100770085e-05    
Lambda        AB|SDSS|SDSS_i            6423.013986596161     All      -0.00035094946868503905    -2.1357266852997177e-05    -0.0005601951033581352     8.236008881823366e-05     
Lambda        AB|SDSS|SDSS_z            7636.428216270955     All      -3.436871213368315e-06     -1.7495113087676392e-07    -3.6194909218157535e-06    9.009934287305514e-07     
MWEBV         All|All|All               All                   All      -0.7247922069830492        -3.301892862975997         0.2110392406339472         -0.8300287557088264       
Redshift      All|All|All               All                   All      6.573949859394272          -0.6299541576492373        2.6734009453996603         -2.227246934046826        
