#Format:      
#Parameter    MagSys|Instrument|Band    RestLamb              Phase    dmu/dP                     dmB/dP                    ds/dP                      dc/dP                      
Zeropoint     AB|PS|PS_r                4999.131014015482     All      0.23229052493798213        0.359340815601783         -1.3983755647743399        -0.02101861944960382       
Zeropoint     AB|PS|PS_i                6055.030353276248     All      0.9988504418671034         -0.004994005129965728     -0.3141954900050322        -0.34100626355953045       
Zeropoint     AB|PS|PS_g                3936.5340545187046    All      -0.8247611244862041        0.5728180497310831        0.6473886698006656         0.48412749901627966        
Zeropoint     AB|PS|PS_z                6958.707344647706     All      0.5909073857513982         0.07229550793379502       1.0770983773675666         -0.12086299678118781       
Check         All|All|All               All                   All      0.9972872280702794         0.9994603681366954        0.011915992388859875       0.0012396192259575833      
Lambda        AB|PS|PS_r                4999.131014015482     All      -1.8325844579353945e-05    2.7513995444082936e-05    -0.00036644891419640387    -1.4213880200229502e-06    
Lambda        AB|PS|PS_i                6055.030353276248     All      -0.00014015701101003847    1.4881650510594864e-06    9.262899478817968e-05      5.0272100438787816e-05     
Lambda        AB|PS|PS_g                3936.5340545187046    All      -0.0007748871079438255     0.00032743044048309366    -0.0009910879148012702     0.0003148333889573763      
Lambda        AB|PS|PS_z                6958.707344647706     All      -0.0003212857140014215     -3.424469576263343e-05    -0.0005210746392977458     7.024553506677423e-05      
MWEBV         All|All|All               All                   All      -0.4989386336215942        -3.0712067729256276       0.14307834376132172        -0.8314874287324862        
Redshift      All|All|All               All                   All      3.967839113724368          -0.007988819789517265     -2.6462414204372418        -1.4131475596461849        
