#Format:      
#Parameter    MagSys|Instrument|Band    RestLamb              Phase    dmu/dP                     dmB/dP                     ds/dP                     dc/dP                      
Zeropoint     AB|PS|PS_r                4999.131014015482     All      0.2502231473085485         0.35411854575180257        -1.3917596681070092       -0.0282656925366144        
Zeropoint     AB|PS|PS_i                6055.030353276248     All      1.0167680571531512         0.009983154156856244       -0.08418367176180191      -0.3316996957744827        
Zeropoint     AB|PS|PS_g                3936.5340545187046    All      -0.8864896391243151        0.5559813804440594         0.3208620274543397        0.48417886557968054        
Zeropoint     AB|PS|PS_z                6958.707344647706     All      0.6166843802030532         0.07786834964385037        1.154043975157991         -0.12401042539497004       
Check         All|All|All               All                   All      0.9971859455404377         0.9979514299965686         -0.001037337256480475     0.00020305187361335797     
Lambda        AB|PS|PS_r                4999.131014015482     All      -1.9037511240133307e-05    1.940951337378628e-05      -0.0003331649032701825    -2.3441586756011135e-06    
Lambda        AB|PS|PS_i                6055.030353276248     All      -0.00015370860176353062    -3.6474694341643745e-06    8.173604691915983e-05     5.2527352038205594e-05     
Lambda        AB|PS|PS_g                3936.5340545187046    All      -0.000769124207029641      0.0003030936516522724      -0.0010631664917065146    0.00030181239391469735     
Lambda        AB|PS|PS_z                6958.707344647706     All      -0.00031024762851191844    -3.285765323398488e-05     -0.000502937454439212     6.791125212370082e-05      
MWEBV         All|All|All               All                   All      -0.5016670861244363        -3.0708114281996046        0.13963059453899057       -0.8306237624180218        
Redshift      All|All|All               All                   All      3.9174914899176523         0.11712931551066674        -2.3072929953676478       -1.3408668777760109        
