#Format:      
#Parameter    MagSys|Instrument|Band    RestLamb             Phase    dmu/dP                     dmB/dP                     ds/dP                     dc/dP                     
Zeropoint     AB|PS|PS_i                5311.922659059626    All      2.0062553119426867         0.4167146834518576         2.0565042955616617        -0.42599333550452173      
Zeropoint     AB|PS|PS_r                4385.609280156328    All      -0.4696776590805858        0.48744052634734913        0.15634394350171948       0.31874179338360603       
Zeropoint     AB|PS|PS_z                6104.695280643523    All      0.12245197048645867        -0.06499450248984573       -1.696142244867639        -0.13674852134305243      
Zeropoint     AB|PS|PS_g                3453.420250989082    All      -0.6703705323304402        0.16049295808873154        -0.5226454796252362       0.24731630609463012       
Check         All|All|All               All                  All      0.9886590910181194         0.9996536653980925         -0.0059394854294940735    0.003316242630661992      
Lambda        AB|PS|PS_i                5311.922659059626    All      0.0004572452603561514      9.841789839829463e-05      -0.0007645966036446762    -0.0001510023116147158    
Lambda        AB|PS|PS_r                4385.609280156328    All      -0.00021595225127462765    -0.00013063082929772347    -0.0014077893014312456    -3.503117665119756e-05    
Lambda        AB|PS|PS_z                6104.695280643523    All      -2.586027833868009e-05     -1.1112189290415764e-05    -0.0003114984317712969    -9.096806548665589e-06    
Lambda        AB|PS|PS_g                3453.420250989082    All      -0.000930192692322184      0.00021762842104605865     -0.0007700269816889236    0.0003395203312302476     
MWEBV         All|All|All               All                  All      -0.47224390618098555       -2.5253673976223467        -0.10133717111950996      -0.6732920794412814       
Redshift      All|All|All               All                  All      1.7865144665658073         0.04001146407492939        4.957470995863877         -0.34766432444870576      
