#Format:      
#Parameter    MagSys|Instrument|Band    RestLamb             Phase    dmu/dP                     dmB/dP                     ds/dP                     dc/dP                      
Zeropoint     AB|SDSS|SDSS_z            7799.549588963039    All      0.16125344585247428        0.010504461642923957       0.31456828423104266       -0.03506616588596009       
Zeropoint     AB|SDSS|SDSS_r            5409.707345353748    All      0.8731079221107714         0.31901452741411873        -0.5493211442588963       -0.20500012751144026       
Zeropoint     AB|SDSS|SDSS_g            4139.973192668699    All      -1.0392538755037555        0.6878267951769601         -0.4330961361876495       0.5432399022876246         
Zeropoint     AB|SDSS|SDSS_i            6560.215676789702    All      1.0050134954512755         -0.01899110398024817       0.6744509767820928        -0.3034543373330218        
Check         All|All|All               All                  All      1.0001209879107658         0.9983546802537546         0.00660198056658956       -0.00028072844279752873    
Lambda        AB|SDSS|SDSS_z            7799.549588963039    All      1.5473595195448028e-05     -1.753361167359688e-07     2.541499890410557e-05     -3.963217088704082e-06     
Lambda        AB|SDSS|SDSS_r            5409.707345353748    All      -0.00014918350361422215    -0.00011739384557642978    -0.003700261047236477     -0.00015477071838228179    
Lambda        AB|SDSS|SDSS_g            4139.973192668699    All      -0.0008898505003695413     0.000372040640486365       -0.0008628312718604992    0.0003725352627397453      
Lambda        AB|SDSS|SDSS_i            6560.215676789702    All      -0.0005150465533086067     -4.352195247341067e-05     -0.0009950427629017225    0.00010918688674842346     
MWEBV         All|All|All               All                  All      -0.6010860955309418        -3.4704534901891293        0.07605229393996549       -0.9312534952405253        
Redshift      All|All|All               All                  All      6.369027419307124          -0.055569523819798405      13.751410821360887        -1.4790402803258895        
