#Format:      
#Parameter    MagSys|Instrument|Band    RestLamb             Phase    dmu/dP                    dmB/dP                    ds/dP                     dc/dP                      
Zeropoint     AB|SDSS|SDSS_z            7799.549588963039    All      0.17035409641416016       0.00033339195724124693    0.22258396930660154       -0.04544843669769202       
Zeropoint     AB|SDSS|SDSS_r            5409.707345353748    All      0.7225532735885467        0.341362357293562         -0.4039829321162024       -0.14219432507977345       
Zeropoint     AB|SDSS|SDSS_g            4139.973192668699    All      -0.9829915061291851       0.7334093248813289        0.01589419001928209       0.5597975032713862         
Zeropoint     AB|SDSS|SDSS_i            6560.215676789702    All      1.0884939106603235        -0.07600150499289526      0.17237958988164376       -0.3716219582538872        
Check         All|All|All               All                  All      0.9984097745338455        0.9991035691392369        0.006874817091324981      0.0005327832400335297      
Lambda        AB|SDSS|SDSS_z            7799.549588963039    All      8.947114734416931e-06     2.90031722840522e-06      4.1452803607027224e-05    -1.1979264229608502e-07    
Lambda        AB|SDSS|SDSS_r            5409.707345353748    All      0.00010738170411222825    -9.316179953548327e-05    -0.0023871889003156655    -0.00017185289348239664    
Lambda        AB|SDSS|SDSS_g            4139.973192668699    All      -0.0009761483349498861    0.000447719809799463      -0.0012134884821518662    0.00040964828100799463     
Lambda        AB|SDSS|SDSS_i            6560.215676789702    All      -0.0003314408311631022    -6.483547447764434e-06    -0.0004388932611208864    8.626348760318448e-05      
MWEBV         All|All|All               All                  All      -0.6079395092464606       -3.4735638234357324       0.06615098653568995       -0.9304761006625025        
Redshift      All|All|All               All                  All      5.727994427451027         -0.1756345232591272       11.598314039867729        -1.4054266864000897        
