#Format:      
#Parameter    MagSys|Instrument|Band                   RestLamb              Phase    dmu/dP                     dmB/dP                     ds/dP                      dc/dP                      
Zeropoint     Linear_AB11_off|SWOPE|SWOPE_r            6219.314643282167     All      0.7340845266572461         -0.03565353214085576       0.06048510569081067        -0.24802983691155078       
Zeropoint     Linear_AB11_off|SWOPE|SWOPE_g            4804.5883584782605    All      -0.04525472959158128       0.2853024170080598         0.16533923752100055        0.11505166844951731        
Zeropoint     Linear_AB11_off|SWOPE|SWOPE_i            7604.064467367828     All      0.20657819382299933        -0.020148442400858002      0.04953933155943391        -0.07164161166130778       
Zeropoint     Linear_AB11_off|SWOPE|SWOPE_u            3594.290407290181     All      -0.21595468314096206       0.0778362721389314         -0.06010823725475234       0.09301502500846659        
Zeropoint     VEGAHST|UVOT|UVOT_b                      4354.072586081613     All      -0.38171868716206225       0.23116524767230473        -0.178097550844869         0.1916887851363583         
Zeropoint     VEGAHST|UVOT|UVOT_u                      3473.605591174839     All      -0.14793877884824158       0.05546519348746948        -0.0010006090799152823     0.0662107129940595         
Zeropoint     Linear_AB11_off|SWOPE|SWOPE_V-LC-9844    5372.718162346626     All      0.5171710030142588         0.10332252625455673        -0.012845312852483026      -0.13537729140732646       
Zeropoint     VEGAHST|UVOT|UVOT_v                      5409.532495684692     All      0.6161713348436988         0.09568374755444253        0.05287545013585859        -0.16718034222170802       
Zeropoint     Linear_AB11_off|SWOPE|SWOPE_B            4398.169675957628     All      -0.28719782723907283       0.20435664979530088        -0.07423615339473555       0.15680264626035667        
Check         All|All|All                              All                   All      0.995940352356283          0.9973300793693518         0.0019512614803485206      0.0005397556468653142      
Lambda        Linear_AB11_off|SWOPE|SWOPE_r            6219.314643282167     All      -0.00011286846648902066    -5.087128419561797e-06     -0.00014464109212238826    2.865326008100706e-05      
Lambda        Linear_AB11_off|SWOPE|SWOPE_g            4804.5883584782605    All      -7.242526988118401e-05     -1.876942395058284e-05     -0.000569956951293933      -7.957086774158844e-06     
Lambda        Linear_AB11_off|SWOPE|SWOPE_i            7604.064467367828     All      -5.283415987552823e-05     3.1990468712468873e-06     -3.428853378267111e-05     1.6721719093989962e-05     
Lambda        Linear_AB11_off|SWOPE|SWOPE_u            3594.290407290181     All      -0.00030658643889065794    9.466786206168303e-05      -6.838465956633833e-05     0.000127650033417509       
Lambda        VEGAHST|UVOT|UVOT_b                      4354.072586081613     All      -0.0002439247094337508     6.454739651872151e-07      -0.000831882266640167      4.2541469989978865e-05     
Lambda        VEGAHST|UVOT|UVOT_u                      3473.605591174839     All      -8.274018531581975e-05     5.7543553808012795e-06     -0.00013008765493661148    2.3020368719969138e-05     
Lambda        Linear_AB11_off|SWOPE|SWOPE_V-LC-9844    5372.718162346626     All      0.00018782645558855323     -2.0017814077238388e-05    -0.0005134049483547263     -9.06126213649476e-05      
Lambda        VEGAHST|UVOT|UVOT_v                      5409.532495684692     All      0.00028463235662260395     -9.336515625984583e-05     -0.001467066752953664      -0.00018859467688504944    
Lambda        Linear_AB11_off|SWOPE|SWOPE_B            4398.169675957628     All      -0.00018583783837789435    5.165089819644389e-05      -0.0003758860402473564     6.058382705552131e-05      
MWEBV         All|All|All                              All                   All      -1.1862577382090693        -3.995412846471824         0.018956748182119565       -0.9141882846129656        
Redshift      All|All|All                              All                   All      3.664995796087765          0.4517906041132669         6.769972459390893          -0.7445338648332072        
