#Format:      
#Parameter    MagSys|Instrument|Band                   RestLamb              Phase    dmu/dP                     dmB/dP                     ds/dP                      dc/dP                     
Zeropoint     Linear_AB11_off|SWOPE|SWOPE_r            6219.314643282167     All      0.7268282712334402         -0.034445112795911115      0.05984151961147501        -0.24530133415067729      
Zeropoint     Linear_AB11_off|SWOPE|SWOPE_g            4804.5883584782605    All      -0.06271284883437972       0.2659560039569797         0.10102589139049387        0.11156657977584922       
Zeropoint     Linear_AB11_off|SWOPE|SWOPE_i            7604.064467367828     All      0.20138579086093217        -0.01952631323112186       0.04939671337621666        -0.06975399164804963      
Zeropoint     Linear_AB11_off|SWOPE|SWOPE_u            3594.290407290181     All      -0.20980541796177188       0.07608836369250582        -0.04273320750940256       0.0912180235262181        
Zeropoint     VEGAHST|UVOT|UVOT_b                      4354.072586081613     All      -0.4018171369510197        0.24305967784092886        -0.15195992258663604       0.20327632097641027       
Zeropoint     VEGAHST|UVOT|UVOT_u                      3473.605591174839     All      -0.1620206684611262        0.058723985006015056       -0.004747775605995668      0.07169192449808465       
Zeropoint     Linear_AB11_off|SWOPE|SWOPE_V-LC-9844    5372.718162346626     All      0.5273806897448982         0.10581742595601185        0.012007733759939042       -0.13678117402728818      
Zeropoint     VEGAHST|UVOT|UVOT_v                      5409.532495684692     All      0.6589748239975562         0.10284975008278963        0.03145576276049476        -0.17974450632461855      
Zeropoint     Linear_AB11_off|SWOPE|SWOPE_B            4398.169675957628     All      -0.28403061154149667       0.19878979295278043        -0.05403268105999548       0.15485925967070285       
Check         All|All|All                              All                   All      0.9941828920870326         0.9973135734609784         0.00025403413658958013     0.0010311022966314476     
Lambda        Linear_AB11_off|SWOPE|SWOPE_r            6219.314643282167     All      -0.00015456987270985793    -9.462516327415598e-06     -0.00020832540745853602    3.796963373310192e-05     
Lambda        Linear_AB11_off|SWOPE|SWOPE_g            4804.5883584782605    All      -1.9130387720138887e-05    -5.158744824003633e-05     -0.0005591078277211724     -3.552274687872901e-05    
Lambda        Linear_AB11_off|SWOPE|SWOPE_i            7604.064467367828     All      -5.422556489230257e-05     3.7884912246421244e-06     -2.912905822832237e-05     1.759719059923926e-05     
Lambda        Linear_AB11_off|SWOPE|SWOPE_u            3594.290407290181     All      -0.00029161698257080366    7.623228902113951e-05      -0.0001653656796465399     0.00011244109885353982    
Lambda        VEGAHST|UVOT|UVOT_b                      4354.072586081613     All      -0.0002537406770702485     -2.322452096509067e-05     -0.0009308607490356235     3.3546655859048034e-05    
Lambda        VEGAHST|UVOT|UVOT_u                      3473.605591174839     All      -3.266769454992702e-05     -3.472780726746881e-06     -6.518641927118896e-05     6.600773414666858e-06     
Lambda        Linear_AB11_off|SWOPE|SWOPE_V-LC-9844    5372.718162346626     All      0.0001509596281779911      -1.494190253604515e-05     -0.0004258741184127018     -7.304439248748418e-05    
Lambda        VEGAHST|UVOT|UVOT_v                      5409.532495684692     All      0.00016392232263118083     -0.00012156653651035731    -0.0018508841000530582     -0.0001755895703090577    
Lambda        Linear_AB11_off|SWOPE|SWOPE_B            4398.169675957628     All      -0.00013571460959301216    3.4787283374953105e-05     -0.0002997688819879649     4.216076747088407e-05     
MWEBV         All|All|All                              All                   All      -1.1819508392133402        -3.9998421652177374        0.005625827214260491       -0.9176288559205353       
Redshift      All|All|All                              All                   All      3.6197789603791595         0.8897274268074185         6.334089557754792          -0.6066062749704672       
