#Format:      
#Parameter    MagSys|Instrument|Band    RestLamb             Phase    dmu/dP                     dmB/dP                    ds/dP                      dc/dP                      
Zeropoint     AB|PS|PS_r                5454.709314375302    All      0.4008055541206499         0.3998004313556791        -0.45890590466028947       -0.02080626439851154       
Zeropoint     AB|PS|PS_z                7592.864772386242    All      0.43964145744427985        -0.04941618692715366      0.44701258872881233        -0.13935404550996294       
Zeropoint     AB|PS|PS_g                4295.27630168891     All      -0.8438275229036216        0.7936319771955525        0.3967995535720914         0.5510817716412217         
Zeropoint     AB|PS|PS_i                6606.834342657386    All      1.0005488445046873         -0.1454706188392052       -0.3850207634798597        -0.3904779504692617        
Check         All|All|All               All                  All      0.9971683331659955         0.9985456027848727        -0.00011452583924542736    0.0004435112634855187      
Lambda        AB|PS|PS_r                5454.709314375302    All      2.3092747664091644e-05     5.0340742673706403e-05    -0.0007698156727622146     -2.5477769432836696e-05    
Lambda        AB|PS|PS_z                7592.864772386242    All      -7.050112559686848e-05     5.354106492051784e-06     -9.679537626676218e-05     2.0389011576669007e-05     
Lambda        AB|PS|PS_g                4295.27630168891     All      -0.00031591414529328536    0.00022097669447014343    -0.00023052953823036757    0.0001645955351875793      
Lambda        AB|PS|PS_i                6606.834342657386    All      -0.0004222606514002716     1.729130933361955e-05     -0.0004941626141429501     0.00012112432657860163     
MWEBV         All|All|All               All                  All      -0.56136762317117          -3.504380350876346        0.08306470168111257        -0.9549292715227569        
Redshift      All|All|All               All                  All      4.977755052087752          0.8210445835805658        3.9549163120144337         -1.1774876005736838        
