#Format:      
#Parameter    MagSys|Instrument|Band    RestLamb             Phase    dmu/dP                     dmB/dP                    ds/dP                      dc/dP                     
Zeropoint     AB|PS|PS_r                5454.709314375302    All      0.3623874927035111         0.41831644403966806       -0.45604237854417057       -0.0021331773695095887    
Zeropoint     AB|PS|PS_z                7592.864772386242    All      0.46650666849226685        -0.059094045697349884     0.42458803892806135        -0.15225803024640794      
Zeropoint     AB|PS|PS_g                4295.27630168891     All      -0.8437710087247994        0.767684294405413         0.18206696235848355        0.5330288198610178        
Zeropoint     AB|PS|PS_i                6606.834342657386    All      1.0115934063386192         -0.12825157431723966      -0.14879945303600126       -0.37792524616344986      
Check         All|All|All               All                  All      0.9967165588095978         0.9986551184304915        0.0018131697063730745      0.0007123660816504285     
Lambda        AB|PS|PS_r                5454.709314375302    All      2.3043237094649106e-06     6.57233606778271e-05      -0.0006398555015357702     -7.896145518579263e-06    
Lambda        AB|PS|PS_z                7592.864772386242    All      -5.719792163191873e-05     3.1145838349886126e-06    -0.00010467805966464088    1.4974466219169883e-05    
Lambda        AB|PS|PS_g                4295.27630168891     All      -0.0003105249715878367     0.00022252333432167562    -0.00024883593401990123    0.00016252696512989768    
Lambda        AB|PS|PS_i                6606.834342657386    All      -0.00037185257998551777    1.7177832699831795e-05    -0.00037511176427930463    0.00010998048891826869    
MWEBV         All|All|All               All                  All      -0.5607784047227802        -3.5064935999745472       0.06721325843152058        -0.9565169312204068       
Redshift      All|All|All               All                  All      4.912283620666116          0.8606466777925093        3.9547361407851427         -1.1432697366729783       
