#Format:      
#Parameter    MagSys|Instrument|Band    RestLamb              Phase    dmu/dP                     dmB/dP                     ds/dP                     dc/dP                      
Zeropoint     AB|PS|PS_r                4552.884196545022     All      -0.2240960124327407        0.4915582309678257         1.0312654470395923        0.27913277187133245        
Zeropoint     AB|PS|PS_g                3585.1398244478983    All      -0.6213639901700325        0.2667334728803539         -0.2938340313525355       0.2761700979658271         
Zeropoint     AB|PS|PS_i                5514.528810655906     All      1.0450297583209995         0.23143784118797583        -1.7206830459737323       -0.34179983531968244       
Zeropoint     AB|PS|PS_z                6337.539186111475     All      0.7950926348309563         0.009333101601249894       0.9854710746000392        -0.21197068273925115       
Check         All|All|All               All                   All      0.9946623905491824         0.9990626466374053         0.0022194443133637387     0.0015323517782259988      
Lambda        AB|PS|PS_r                4552.884196545022     All      -0.00020800520678537223    -0.00022107059014979738    -0.0025202452270031836    -0.00011672279461363562    
Lambda        AB|PS|PS_g                3585.1398244478983    All      -0.0010182964341691556     0.0004021042824182209      -0.000882175283150939     0.0004233038119855693      
Lambda        AB|PS|PS_i                5514.528810655906     All      6.686950538646851e-05      -3.0100878536364907e-06    -0.0009150122836930313    -6.359487821043984e-05     
Lambda        AB|PS|PS_z                6337.539186111475     All      0.00010061964511938278     -6.087534770226252e-06     -4.465579080871845e-05    -3.675082189915422e-05     
MWEBV         All|All|All               All                   All      -0.4691472331747981        -2.6730739113775215        -0.08256242433204451      -0.7215758079271054        
Redshift      All|All|All               All                   All      3.977371517917878          0.16052601050251525        4.21717866525051          -1.0550788372234667        
