#Format:      
#Parameter    MagSys|Instrument|Band    RestLamb              Phase    dmu/dP                     dmB/dP                     ds/dP                      dc/dP                     
Zeropoint     AB|PS|PS_r                4552.884196545022     All      -0.2668979250988528        0.47226098474784095        0.5066087289029464         0.2633759953441034        
Zeropoint     AB|PS|PS_g                3585.1398244478983    All      -0.5757538337595062        0.26258654282553806        -0.08887205755866434       0.26910908947866685       
Zeropoint     AB|PS|PS_i                5514.528810655906     All      1.0313467005606747         0.24334018884584196        -1.3358773128643642        -0.3162937145202771       
Zeropoint     AB|PS|PS_z                6337.539186111475     All      0.8054632357483547         0.021294925252846042       0.9246844912990881         -0.21416499517509235      
Check         All|All|All               All                   All      0.9941581774506705         0.999482641672067          0.006543849779006017       0.0020263751274007813     
Lambda        AB|PS|PS_r                4552.884196545022     All      -0.00022658317223267103    -0.0002420410685504644     -0.0024711685079820476     -0.0001153120462251902    
Lambda        AB|PS|PS_g                3585.1398244478983    All      -0.0008224903430433625     0.00028820449444572196     -0.0010173630116874714     0.00031638961071267133    
Lambda        AB|PS|PS_i                5514.528810655906     All      4.959546697313668e-05      -1.3307877751353478e-05    -0.00032245189977736207    -3.487923615439374e-05    
Lambda        AB|PS|PS_z                6337.539186111475     All      -0.00013777483892763178    -1.0610347796798851e-05    -0.00038308563203341657    2.4326306039822428e-05    
MWEBV         All|All|All               All                   All      -0.48053734214752364       -2.6598233908559976        0.0023520550392563955      -0.7097602010319531       
Redshift      All|All|All               All                   All      4.033567429585842          0.6630406859857274         4.031515550636732          -0.9179834244830237       
