#Format:      
#Parameter    MagSys|Instrument|Band    RestLamb              Phase    dmu/dP                     dmB/dP                     ds/dP                     dc/dP                     
Zeropoint     AB|SDSS|SDSS_u            3239.5395837253704    All      -0.13487741103404471       0.0823645891216529         0.17691724915764417       0.07865787077859768       
Zeropoint     AB|SDSS|SDSS_g            4259.824958370286     All      -0.6470865633731822        0.6195276224229218         -0.037023360378205604     0.41092572815123446       
Zeropoint     AB|SDSS|SDSS_r            5566.317774237117     All      0.7222186692898712         0.32604601844745673        -1.2873752493236776       -0.18649611074910694      
Zeropoint     AB|SDSS|SDSS_z            8025.345686283113     All      0.16674593269591317        -0.011759098737229579      0.18172127241305125       -0.05003557560669536      
Zeropoint     AB|SDSS|SDSS_i            6750.133194526007     All      0.8863134997380044         -0.01614052498126739       0.977852339096843         -0.25032190692606004      
Check         All|All|All               All                   All      0.9933141273165618         1.0000386062735345         0.012092250965655138      0.0027300056479698243     
Lambda        AB|SDSS|SDSS_u            3239.5395837253704    All      -8.51956398349632e-05      5.2703738855571025e-05     0.00013530388670084494    5.0956355429495106e-05    
Lambda        AB|SDSS|SDSS_g            4259.824958370286     All      -0.0004439507936478726     0.00022140431312318927     -0.0009129900178292719    0.00017598549652392563    
Lambda        AB|SDSS|SDSS_r            5566.317774237117     All      -5.1473534448923444e-05    -2.0893246555421903e-05    -0.0013456019590381133    -5.008702947710749e-05    
Lambda        AB|SDSS|SDSS_z            8025.345686283113     All      7.894524787601805e-06      -1.32934062230512e-07      2.916894205910104e-05     -1.313131526949666e-06    
Lambda        AB|SDSS|SDSS_i            6750.133194526007     All      -0.0005505536767914065     -1.6671676658278127e-06    -0.0009874517621278312    0.00013472495691011917    
MWEBV         All|All|All               All                   All      -0.826510699530898         -3.5076528018741726        0.3006321273020168        -0.8599203586002926       
Redshift      All|All|All               All                   All      3.467011107168447          0.39065716360937586        0.8273805739678258        -0.9651474934610682       
