#Format:      
#Parameter    MagSys|Instrument|Band    RestLamb              Phase    dmu/dP                    dmB/dP                     ds/dP                     dc/dP                     
Zeropoint     AB|SDSS|SDSS_u            3239.5395837253704    All      -0.09181149163565909      0.05373570050455356        0.05227489186380163       0.04974229717444739       
Zeropoint     AB|SDSS|SDSS_g            4259.824958370286     All      -0.7004584489561184       0.6554714058232491         -0.32284344777908647      0.4272639421607924        
Zeropoint     AB|SDSS|SDSS_r            5566.317774237117     All      0.6882784054364947        0.328814123263399          -1.0254941573329512       -0.1628524370448567       
Zeropoint     AB|SDSS|SDSS_z            8025.345686283113     All      0.197522173289641         -0.013904355252414291      0.2592294834478759        -0.057300354824005306     
Zeropoint     AB|SDSS|SDSS_i            6750.133194526007     All      0.8987806556243312        -0.02386332827519766       1.0581810496025912        -0.2533137394475485       
Check         All|All|All               All                   All      0.9923112937586895        1.0002535460635897         0.021347819802230994      0.0035397080188293017     
Lambda        AB|SDSS|SDSS_u            3239.5395837253704    All      -9.966160506572378e-05    6.646952803607961e-05      0.0001649093406512341     6.147352207525163e-05     
Lambda        AB|SDSS|SDSS_g            4259.824958370286     All      -0.0005304132252825145    0.0003137166426299454      -0.0008112840258708942    0.00023875698904499915    
Lambda        AB|SDSS|SDSS_r            5566.317774237117     All      -3.846481944775503e-05    -5.857696469374098e-06     -0.0015722946195949818    -5.954307488799075e-05    
Lambda        AB|SDSS|SDSS_z            8025.345686283113     All      5.122998265496093e-06     1.7163801612385212e-06     3.638918911325681e-05     5.142347896607855e-07     
Lambda        AB|SDSS|SDSS_i            6750.133194526007     All      -0.000540527956168601     -3.4115000435009117e-06    -0.0010049342678154771    0.00013011089949002596    
MWEBV         All|All|All               All                   All      -0.8402252671966512       -3.5010712687780554        0.29966288669447394       -0.8533525036170233       
Redshift      All|All|All               All                   All      3.478428583219602         0.006961306626429575       0.5668129237518138        -1.1054768423580372       
