#Format:      
#Parameter    MagSys|Instrument|Band    RestLamb             Phase    dmu/dP                    dmB/dP                     ds/dP                     dc/dP                     
Zeropoint     AB|PS|PS_z                6539.760484644833    All      0.9660130226297956        -0.06071068128861157       0.9193161737645505        -0.293412830004125        
Zeropoint     AB|PS|PS_r                4698.159851221052    All      -0.21929613557276684      0.687457677281067          1.291223737517            0.3529809331901182        
Zeropoint     AB|PS|PS_g                3699.536218605477    All      -0.5129704666552901       0.27230200020760265        -0.16827519978377392      0.248279727847725         
Zeropoint     AB|PS|PS_i                5690.489091790622    All      0.7591532359710714        0.09988791912913797        -2.045793649760097        -0.30603877747852337      
Check         All|All|All               All                  All      0.99289965637281          0.998936915329196          -0.00352893826232048      0.0018090535551948395     
Lambda        AB|PS|PS_z                6539.760484644833    All      -0.0003618664600488137    -1.5076506100147814e-05    -0.0005702390677304129    8.751374647218219e-05     
Lambda        AB|PS|PS_r                4698.159851221052    All      -0.0002781439921203347    9.436586845374321e-05      -0.0005522430470703295    9.66946459691996e-05      
Lambda        AB|PS|PS_g                3699.536218605477    All      -0.0011329949153825794    0.0004958272585278584      -0.0008787647948896399    0.0004913457319252629     
Lambda        AB|PS|PS_i                5690.489091790622    All      -8.627114198319141e-05    -3.4129094850670833e-06    -0.0002263905291312235    1.6886882738484272e-05    
MWEBV         All|All|All               All                  All      -0.4551562987874602       -2.821440223807592         -0.03022758212318788      -0.7721254409677553       
Redshift      All|All|All               All                  All      5.084121720483753         0.034793821670042746       5.2763433362162715        -1.4092732448703849       
