#Format:      
#Parameter    MagSys|Instrument|Band    RestLamb              Phase    dmu/dP                     dmB/dP                    ds/dP                     dc/dP                      
Zeropoint     AB|PS|PS_z                8302.315593767129     All      0.35933368395133436        -0.08409104797006961      0.10280871048307784       -0.13985014286163594       
Zeropoint     AB|PS|PS_r                5964.37834174313      All      1.0619704188700776         0.1125051486783768        0.08698317928838376       -0.30539041518866195       
Zeropoint     AB|PS|PS_i                7224.153917236437     All      0.6699452909397081         -0.16110390393766494      -0.05618539058262891      -0.2732073594095092        
Zeropoint     AB|PS|PS_g                4696.6119492528505    All      -1.0919518734853615        1.1313674260621909        -0.13199508969333892      0.7183179062734739         
Check         All|All|All               All                   All      0.9992975202757585         0.9986776228328331        0.0016114094954937652     -0.00013001118633315656    
Lambda        AB|PS|PS_z                8302.315593767129     All      0.0003625317838443846      -7.785676088390382e-05    0.00017903687978255457    -0.00013545944371272915    
Lambda        AB|PS|PS_r                5964.37834174313      All      -0.0001574620963117595     -8.079902012698943e-05    -0.000679859168355895     -5.367306149833087e-06     
Lambda        AB|PS|PS_i                7224.153917236437     All      -0.00015116361384333164    -0.0001315045909185079    -0.001055332589978134     -4.069105599419565e-05     
Lambda        AB|PS|PS_g                4696.6119492528505    All      -0.0003939300844117764     0.00013348547352260538    -0.0007767143561977904    0.0001371354042785943      
MWEBV         All|All|All               All                   All      -0.6617762680856547        -3.967011284224853        0.0004844617108526239     -1.0766021644575934        
Redshift      All|All|All               All                   All      5.621644049600264          0.04201627963205112       4.810465114307903         -1.6027993645954495        
