#Format:      
#Parameter    MagSys|Instrument|Band    RestLamb              Phase    dmu/dP                     dmB/dP                     ds/dP                     dc/dP                      
Zeropoint     AB|PS|PS_z                8302.315593767129     All      0.41399999082720806        -0.09562838627772408       0.1489576871506526        -0.15935543125905302       
Zeropoint     AB|PS|PS_r                5964.37834174313      All      0.9646459833155747         0.15296069115233735        0.186153265126221         -0.2560854380589398        
Zeropoint     AB|PS|PS_i                7224.153917236437     All      0.707947849069666          -0.2101097873321578        -0.27547794373564694      -0.3113348907796767        
Zeropoint     AB|PS|PS_g                4696.6119492528505    All      -1.0951702953067723        1.1574672528698038         -0.0466061069161916       0.7316783425176085         
Check         All|All|All               All                   All      0.9914235279056762         1.0046897704122593         0.013026901625035059      0.004902582419939017       
Lambda        AB|PS|PS_z                8302.315593767129     All      0.0003515017169918965      -7.380582932941244e-05     0.00019337081657138302    -0.00012990740861597053    
Lambda        AB|PS|PS_r                5964.37834174313      All      -3.910792859660933e-05     -8.710957532366739e-05     -0.0004684736297409838    -3.654154202005631e-05     
Lambda        AB|PS|PS_i                7224.153917236437     All      -0.00012681480254813477    -0.00015545009010782757    -0.001106605326340771     -5.8710168491328486e-05    
Lambda        AB|PS|PS_g                4696.6119492528505    All      -0.00045650822563272247    0.00019211790221673264     -0.0007343377838485861    0.00017850874640462503     
MWEBV         All|All|All               All                   All      -0.6563310734194356        -3.970123807000725         0.007292837263850327      -1.0790858680378312        
Redshift      All|All|All               All                   All      4.909404042528517          -0.3637910593047522        2.614466800922599         -1.6009814821195025        
