#Format:      
#Parameter    MagSys|Instrument|Band    RestLamb              Phase    dmu/dP                     dmB/dP                     ds/dP                     dc/dP                     
Zeropoint     AB|PS|PS_g                3726.458252943419     All      -0.4282501712321465        0.6209727981479674         2.2731099822467744        0.4432048980286391        
Zeropoint     AB|PS|PS_i                5731.8995642596865    All      0.629773219631566          -0.007082657259793734      -3.205014854821679        -0.3504700039094234       
Zeropoint     AB|PS|PS_r                4732.349007203255     All      -0.4384484944097758        0.07294317089403535        -3.228825629834579        0.022489431275724354      
Zeropoint     AB|PS|PS_z                6587.351221949708     All      1.2396740991835458         0.31638743472566233        4.241247751654248         -0.11147743403298092      
Check         All|All|All               All                   All      1.0027486531731893         1.0032207465078713         0.08051724924476389       0.0037468913619591315     
Lambda        AB|PS|PS_g                3726.458252943419     All      -0.0006556430383893347     0.0008728391837031253      0.0027859735659238752     0.000622202150040401      
Lambda        AB|PS|PS_i                5731.8995642596865    All      -0.00013623165736245584    5.019549863711253e-07      0.0009236118613035487     8.575519131837563e-05     
Lambda        AB|PS|PS_r                4732.349007203255     All      -7.661722146787322e-05     -2.960373335956127e-06     -0.0006558396015352232    -5.274650579286153e-06    
Lambda        AB|PS|PS_z                6587.351221949708     All      -0.0008189587296886052     -0.00022230399668250725    -0.0029029933982027147    6.480281350238631e-05     
MWEBV         All|All|All               All                   All      -0.45801383356181224       -2.8145213030969174        0.2256959932766512        -0.7575202340248222       
Redshift      All|All|All               All                   All      3.808683517179957          -0.44911145426898          -8.813750559823534        -1.7802211068875444       
