#Format:      
#Parameter    MagSys|Instrument|Band    RestLamb             Phase    dmu/dP                     dmB/dP                     ds/dP                     dc/dP                      
Zeropoint     AB|PS|PS_g                3983.746942692835    All      -0.5138400165683399        0.32722600456768225        -0.5919650380259406       0.24754619248419166        
Zeropoint     AB|PS|PS_r                5059.088176906429    All      -0.0015862840065160588     0.6060242215873757         0.37183961933325294       0.2145122258770513         
Zeropoint     AB|PS|PS_z                7042.166719607824    All      0.6322030977816693         0.03305621290403682        0.557997589123016         -0.17026098213934177       
Zeropoint     AB|PS|PS_i                6127.651462861733    All      0.8198223573615662         -0.009459078209728133      -0.4336526638923255       -0.2894761728092974        
Check         All|All|All               All                  All      0.9365991545683793         0.9568473608493666         -0.09578049346199713      0.0023212634126038023      
Lambda        AB|PS|PS_g                3983.746942692835    All      -0.00033447041451334196    0.00012559133126397866     -0.0008389353665580838    0.00011241941386282187     
Lambda        AB|PS|PS_r                5059.088176906429    All      -0.00021442708484004655    7.418712165397133e-05      -0.0010115896325181494    4.8868542944309914e-05     
Lambda        AB|PS|PS_z                7042.166719607824    All      -0.00019655493817219915    -0.00011925438439898597    -0.0007478804085622758    -8.195134267041897e-06     
Lambda        AB|PS|PS_i                6127.651462861733    All      0.00024684268270079194     -0.00011083784689548817    -0.0006659684848226646    -0.00014622743062442514    
MWEBV         All|All|All               All                  All      -0.44373560625412667       -3.2073764173972563        -0.3549900450601662       -0.9160503085721083        
Redshift      All|All|All               All                  All      7.647601534736505          0.8457212215436272         4.157611455407428         -2.0300610891863387        
