#Format:      
#Parameter    MagSys|Instrument|Band    RestLamb             Phase    dmu/dP                     dmB/dP                     ds/dP                      dc/dP                     
Zeropoint     AB|PS|PS_g                3983.746942692835    All      -0.7224299481532892        0.5522294665182059         0.3346170624344464         0.4301309290635226        
Zeropoint     AB|PS|PS_r                5059.088176906429    All      0.05917055177785535        0.5139643186979015         -0.35115969767039285       0.1324706476674926        
Zeropoint     AB|PS|PS_z                7042.166719607824    All      0.731672868919437          0.10180587509402983        1.4650651807094455         -0.13978927168345703      
Zeropoint     AB|PS|PS_i                6127.651462861733    All      0.9278764635013861         -0.16747394541241079       -1.4327096825878598        -0.42072691707763316      
Check         All|All|All               All                  All      0.9962899360453888         1.0005257148977265         0.0158128628856391         0.0020853879699251343     
Lambda        AB|PS|PS_g                3983.746942692835    All      -0.0006673602208151822     0.000375220827390072       -0.00020882458423775448    0.00033028406520022214    
Lambda        AB|PS|PS_r                5059.088176906429    All      -0.00010668407841481687    5.3945564089688696e-05     -0.0006396818034675305     2.3776298185489864e-05    
Lambda        AB|PS|PS_z                7042.166719607824    All      -0.00031678489951614323    -8.146376204087313e-05     -0.0009421945823559257     3.4606019443813774e-05    
Lambda        AB|PS|PS_i                6127.651462861733    All      -8.859059379391274e-06     -0.00012868786998307998    -0.0011132858334135483     -8.871301947275078e-05    
MWEBV         All|All|All               All                  All      -0.49166357558218765       -3.128183691845088         0.13253304672667912        -0.8528869996291026       
Redshift      All|All|All               All                  All      7.079019862330076          0.5786128580773209         6.176380422188559          -1.8417729271703331       
