#Format:      
#Parameter    MagSys|Instrument|Band    RestLamb              Phase    dmu/dP                    dmB/dP                     ds/dP                     dc/dP                     
Zeropoint     AB|PS|PS_g                3588.0181937690377    All      -0.5686435109809841       0.30321883032016217        0.01124121180078319       0.28449589163448          
Zeropoint     AB|PS|PS_z                6342.6273498256005    All      0.6447944201743864        0.017382012526923063       0.3811319172789096        -0.18736069543330708      
Zeropoint     AB|PS|PS_i                5518.9562113505435    All      1.2651175360262719        0.3721319439055293         0.011643358550395         -0.29035519609098975      
Zeropoint     AB|PS|PS_r                4556.539530182128     All      -0.34367805130830265      0.3056506873649667         -0.4034615229979055       0.19350309772721702       
Check         All|All|All               All                   All      0.9975903939113715        0.9983834741175812         0.0005549646321822976     0.00028309783740021466    
Lambda        AB|PS|PS_g                3588.0181937690377    All      -0.001113328140180071     0.00047758188256898174     -0.0005872564398815331    0.000492005176053838      
Lambda        AB|PS|PS_z                6342.6273498256005    All      6.760894865699859e-05     -6.856479861873457e-05     -0.0006004660976634602    -7.115231356860821e-05    
Lambda        AB|PS|PS_i                5518.9562113505435    All      -0.0004343912239558776    -0.00026844529811521326    -0.0029416675131351266    -7.72190630159114e-05     
Lambda        AB|PS|PS_r                4556.539530182128     All      -0.0002447246266289291    -0.00016539403769039998    -0.0013069993992147046    -3.248479763970208e-05    
MWEBV         All|All|All               All                   All      -0.46053021093470603      -2.6543454584412984        0.05776241223958145       -0.7120201293256578       
Redshift      All|All|All               All                   All      4.10109037023871          0.275901958422331          2.612011994686192         -1.1294276119037037       
