#Format:      
#Parameter    MagSys|Instrument|Band    RestLamb              Phase    dmu/dP                     dmB/dP                     ds/dP                     dc/dP                      
Zeropoint     AB|PS|PS_g                3588.0181937690377    All      -0.5961990321399341        0.3287889488372997         0.03964655775714361       0.3030682603876099         
Zeropoint     AB|PS|PS_z                6342.6273498256005    All      0.7479952328046748         -0.030172429996788708      0.2856221561589556        -0.24072880371585884       
Zeropoint     AB|PS|PS_i                5518.9562113505435    All      1.2182299403730381         0.37100997889218945        -0.13139034771364266      -0.2818307619275628        
Zeropoint     AB|PS|PS_r                4556.539530182128     All      -0.3728669774191551        0.32920361107393603        -0.19166254409681774      0.2201344690396831         
Check         All|All|All               All                   All      0.9971591636186238         0.9988301088066365         0.0022158221056387817     0.0006431637838713866      
Lambda        AB|PS|PS_g                3588.0181937690377    All      -0.0011414283989167164     0.0005957790731862141      -6.638496103965895e-05    0.0005629031701760577      
Lambda        AB|PS|PS_z                6342.6273498256005    All      0.00017719766672064015     -0.00011465540625913617    -0.0008185237299479728    -0.00013159310227447838    
Lambda        AB|PS|PS_i                5518.9562113505435    All      -0.00016199033435931583    -0.0001718376958431252     -0.0021566082179125066    -9.944712942600092e-05     
Lambda        AB|PS|PS_r                4556.539530182128     All      -0.0001140245014589508     -0.00010395397190065463    -0.0007582841734786614    -3.055843720139428e-05     
MWEBV         All|All|All               All                   All      -0.4442042165178659        -2.6686660164862985        0.015000881160209412      -0.7239109704395714        
Redshift      All|All|All               All                   All      3.84760086214929           -0.2417474445142176        1.4778389457244228        -1.2660861143645805        
