#Format:      
#Parameter    MagSys|Instrument|Band    RestLamb             Phase    dmu/dP                     dmB/dP                     ds/dP                      dc/dP                     
Zeropoint     AB|SDSS|SDSS_u            3027.440708783525    All      -0.08552809407590653       0.02064423959247108        -0.03723681227351664       0.03292211413254262       
Zeropoint     AB|SDSS|SDSS_g            3980.926041481446    All      -0.8897152393456803        0.5651140624205908         -0.19049355836310283       0.46538491344316807       
Zeropoint     AB|SDSS|SDSS_i            6308.189017193201    All      0.9345155237952376         0.04014243904855164        -0.20028179902168347       -0.30026439453181         
Zeropoint     AB|SDSS|SDSS_r            5201.880264840543    All      0.9618886478803296         0.3704144866251369         0.3166074077367454         -0.17853385876067054      
Zeropoint     AB|SDSS|SDSS_z            7499.910899305575    All      0.06969660744804906        0.0030933350096518097      0.10490486438413638        -0.017013454728915498     
Check         All|All|All               All                  All      0.9908574457020296         0.9994085626964022         -0.00649989753742114       0.002495319554314642      
Lambda        AB|SDSS|SDSS_u            3027.440708783525    All      -9.255908672968068e-05     2.1684674007945628e-05     -5.01505007516264e-05      3.4974964864707975e-05    
Lambda        AB|SDSS|SDSS_g            3980.926041481446    All      -0.0008219239890419209     0.00034224594995408634     -0.0019999651524368455     0.00028995918993881414    
Lambda        AB|SDSS|SDSS_i            6308.189017193201    All      -0.0002775157067625837     -9.895479346807111e-06     -3.7648900174557595e-06    8.700470276331765e-05     
Lambda        AB|SDSS|SDSS_r            5201.880264840543    All      0.00023042271774526745     7.561756352392768e-05      6.366496283954195e-05      -4.758405677925815e-05    
Lambda        AB|SDSS|SDSS_z            7499.910899305575    All      -1.2285029741036352e-05    -3.3593204782534894e-07    -1.3260659046524499e-05    3.3004519230739894e-06    
MWEBV         All|All|All               All                  All      -0.7390946471905124        -3.2378111666993448        0.0767267942838559         -0.8104902113003076       
Redshift      All|All|All               All                  All      4.454100404265434          -0.42883947200653694       -5.51953447693721          -1.8368456350528888       
