#Format:      
#Parameter    MagSys|Instrument|Band    RestLamb             Phase    dmu/dP                    dmB/dP                     ds/dP                     dc/dP                     
Zeropoint     AB|PS|PS_g                3724.19979339618     All      -0.9341512740590787       0.395653703404264          -0.23363634250400145      0.4227351135310406        
Zeropoint     AB|PS|PS_i                5728.425685735892    All      0.2875815420468969        0.12475458353478075        -5.810541655466644        -0.3123358844661389       
Zeropoint     AB|PS|PS_z                6583.358887875798    All      0.9596607839838662        0.03742134918738316        3.697316699622308         -0.13540946154665368      
Zeropoint     AB|PS|PS_r                4729.480916895858    All      0.6881683071592898        0.44171353087758547        2.437888803262909         0.028513351715086063      
Check         All|All|All               All                  All      1.001259359130974         0.9995431670040134         0.09102750491457101       0.00350311923333407       
Lambda        AB|PS|PS_g                3724.19979339618     All      -0.0012183727321888028    0.0004888429996182974      -0.0011779762011774482    0.0005035286619693126     
Lambda        AB|PS|PS_i                5728.425685735892    All      -4.517254448121774e-05    -2.0665390577282728e-05    0.0011013566816842723     5.7131276643218356e-05    
Lambda        AB|PS|PS_z                6583.358887875798    All      -0.000471326181014322     -2.608278509275156e-05     -0.0017474889900045097    6.704801442702041e-05     
Lambda        AB|PS|PS_r                4729.480916895858    All      -8.568998275067562e-05    -3.354361839739369e-05     -0.0005177468702986238    -6.118878461768578e-06    
MWEBV         All|All|All               All                  All      -0.5143775315393655       -2.8255134256674808        0.04088298433484634       -0.7509885750078963       
Redshift      All|All|All               All                  All      4.079951746410823         0.07577492468726632        -0.2617737462751186       -1.3159738843528497       
