#Format:      
#Parameter    MagSys|Instrument|Band    RestLamb             Phase    dmu/dP                     dmB/dP                    ds/dP                     dc/dP                      
Zeropoint     AB|PS|PS_g                3724.19979339618     All      -0.6283331738110933        0.3975226337571136        -0.4151746265372631       0.31562764942430027        
Zeropoint     AB|PS|PS_i                5728.425685735892    All      0.3370111721263356         0.08858605433576527       -1.4050442615732677       -0.14362090606713615       
Zeropoint     AB|PS|PS_z                6583.358887875798    All      0.5214567030329575         0.043548731369730254      1.0193086454495552        -0.11018328574483328       
Zeropoint     AB|PS|PS_r                4729.480916895858    All      0.6846023555341122         0.33933544457044884       0.6748883998700869        -0.0823476222089451        
Check         All|All|All               All                  All      0.914737056882312          0.868992864033058         -0.12602184279088868      -0.02052416459661427       
Lambda        AB|PS|PS_g                3724.19979339618     All      -0.001198193863260492      0.0008767276740370943     -0.010189343104964811     0.00022116662277439964     
Lambda        AB|PS|PS_i                5728.425685735892    All      -0.00037430601309517905    0.0002464724313200978     -0.0061520563813592015    -7.233005857685144e-05     
Lambda        AB|PS|PS_z                6583.358887875798    All      -0.0009117600577112431     0.00047985612318403634    -0.013147811014259521     -0.00013343124692451959    
Lambda        AB|PS|PS_r                4729.480916895858    All      -0.0004385602756611094     0.0002408195668020611     -0.00772260636102612      -0.00012332808762130555    
MWEBV         All|All|All               All                  All      -0.8545482150059467        -2.459466306138225        -8.621363150247795        -0.9075064634254809        
Redshift      All|All|All               All                  All      3.4047760789221666         0.3348473502377658        -8.86388010692234         -1.395531043430867         
