#Format:      
#Parameter    MagSys|Instrument|Band    RestLamb             Phase    dmu/dP                     dmB/dP                    ds/dP                     dc/dP                      
Zeropoint     VEGAHST|UVOT|UVOT_u       3479.117608645636    All      -0.5241844415291945        0.15801824343515403       0.025825796819428214      0.22336834499303265        
Zeropoint     VEGAHST|UVOT|UVOT_b       4360.981753957372    All      -0.8188932711329493        0.5558931887387875        -0.39710146919935946      0.4300923643620276         
Zeropoint     VEGAHST|UVOT|UVOT_v       5418.116497766222    All      2.3283951569447305         0.2882829365987494        0.37434923057189695       -0.6478261810285445        
Check         All|All|All               All                  All      0.9853174442825869         1.0021943687726909        0.0030735581919656974     0.005634528326515675       
Lambda        VEGAHST|UVOT|UVOT_u       3479.117608645636    All      -0.00022143470679987525    -6.611761366780165e-05    -0.0010176918839536692    5.1769723226126716e-06     
Lambda        VEGAHST|UVOT|UVOT_b       4360.981753957372    All      -0.00021540673758121788    -0.0001211458545144315    -0.0018467705117131302    -5.1709015321795606e-05    
Lambda        VEGAHST|UVOT|UVOT_v       5418.116497766222    All      0.0006386689049003518      0.00011222081097204614    0.0005899515329962841     -0.00014515463645205692    
MWEBV         All|All|All               All                  All      -1.3827849729442012        -3.9511158008560088       0.17949769906381585       -0.8285796883192393        
Redshift      All|All|All               All                  All      -0.704155644160562         0.43079342097440687       -4.453999310390443        0.1709287164858235         
