#Format:      
#Parameter    MagSys|Instrument|Band    RestLamb              Phase    dmu/dP                    dmB/dP                     ds/dP                     dc/dP                      
Zeropoint     AB|PS|PS_z                6441.833752406267     All      1.07976265171633          0.0927218912025296         2.4586449390162928        -0.21179361689529905       
Zeropoint     AB|PS|PS_g                3644.1391603283605    All      -0.5953215102495264       0.41925104224702636        0.5124963068826274        0.35335001515943737        
Zeropoint     AB|PS|PS_r                4627.809347889202     All      -0.11389125336888228      0.2765115848545108         -0.03242721900643287      0.1257199704298084         
Zeropoint     AB|PS|PS_i                5605.279395975818     All      0.6253878679044047        0.21042436345446447        -2.9326455741073993       -0.26603776811161367       
Check         All|All|All               All                   All      0.9959377560023258        0.9989088817585312         0.006068452785088052      0.0012386005823330493      
Lambda        AB|PS|PS_z                6441.833752406267     All      5.261738471404699e-06     -4.127921848008603e-06     -0.0001267890032577429    -8.71653217124563e-06      
Lambda        AB|PS|PS_g                3644.1391603283605    All      -0.0010036521967177463    0.0006238770475188293      1.963196942193131e-05     0.0005310159035984952      
Lambda        AB|PS|PS_r                4627.809347889202     All      -9.362507510662455e-05    -0.00010864731451256873    -0.0012370715919048545    -6.0098061073911824e-05    
Lambda        AB|PS|PS_i                5605.279395975818     All      4.0586745351944485e-05    9.974198068672357e-06      0.0004682249314526749     1.0923214438353207e-05     
MWEBV         All|All|All               All                   All      -0.4662189239844259       -2.7256539408634595        0.07769311048096363       -0.732505231512424         
Redshift      All|All|All               All                   All      5.177478679092506         -0.10385946297919446       0.6330216348166782        -1.6920567355380507        
