#Format:      
#Parameter    MagSys|Instrument|Band    RestLamb              Phase    dmu/dP                    dmB/dP                    ds/dP                     dc/dP                     
Zeropoint     AB|PS|PS_z                6441.833752406267     All      1.215489490650949         0.09988863949423887       2.979735751894008         -0.2304159782238538       
Zeropoint     AB|PS|PS_g                3644.1391603283605    All      -0.6328889760642085       0.44251862752524573       0.5107639814493914        0.373088686986326         
Zeropoint     AB|PS|PS_r                4627.809347889202     All      -0.10285761017369063      0.25735180557635573       -0.11476939084105187      0.11221042645108217       
Zeropoint     AB|PS|PS_i                5605.279395975818     All      0.5149637419959544        0.19935430059625503       -3.3694593294032127       -0.25316787281040376      
Check         All|All|All               All                   All      0.9947066464090043        0.9991133731920954        0.0062710130991350255     0.0017152624031506747     
Lambda        AB|PS|PS_z                6441.833752406267     All      -0.000261976086982453     -5.844773471268211e-05    -0.0015959123529208968    -4.922358332375244e-06    
Lambda        AB|PS|PS_g                3644.1391603283605    All      -0.0010644274562223205    0.0007003565103510815     0.00040368139734143387    0.0005928626443026639     
Lambda        AB|PS|PS_r                4627.809347889202     All      -9.567831257914443e-05    -8.481310677697973e-05    -0.0010831715273199884    -4.47978154529882e-05     
Lambda        AB|PS|PS_i                5605.279395975818     All      0.00013164336874627795    9.039844474224543e-06     0.0004159203135683303     -2.137538804989972e-05    
MWEBV         All|All|All               All                   All      -0.46527338952204067      -2.7288315948354125       0.048765196918587606      -0.7351392095555458       
Redshift      All|All|All               All                   All      6.588167603358894         -0.060153445466326616     9.337519199816068         -1.7488862926548596       
