#Format:      
#Parameter    MagSys|Instrument|Band                   RestLamb              Phase    dmu/dP                     dmB/dP                     ds/dP                     dc/dP                      
Zeropoint     Linear_AB11_off|SWOPE|SWOPE_r            6021.578166737256     All      1.0882123981615328         -0.05399275301858353       0.0433417526075619        -0.3701196518152705        
Zeropoint     Linear_AB11_off|SWOPE|SWOPE_i            7362.301346921463     All      0.45855786473722093        -0.04831972850922739       0.22431394751625255       -0.1550966066569126        
Zeropoint     Linear_AB11_off|SWOPE|SWOPE_g            4651.831595435184     All      -0.37086661575753826       0.4676945418203182         0.03166360738369178       0.2745599582375968         
Zeropoint     Linear_AB11_off|SWOPE|SWOPE_B            4258.334561503349     All      -0.5139469903766344        0.3227632258592905         -0.04268857284235317      0.27063904943209205        
Zeropoint     Linear_AB11_off|SWOPE|SWOPE_u            3480.0137768925815    All      -0.25029594725073734       0.09592598972592015        -0.05606063155765284      0.11027414672744595        
Zeropoint     Linear_AB11_off|SWOPE|SWOPE_V-LC-9844    5201.898318067029     All      0.581321121472843          0.21729702172352816        -0.18570918680036463      -0.12686197340096572       
Check         All|All|All                              All                   All      0.9929818309866867         1.0013682976012461         0.014860916307135597      0.003394922523985988       
Lambda        Linear_AB11_off|SWOPE|SWOPE_r            6021.578166737256     All      0.0002796351567325632      -8.180603398639517e-06     1.138147869354493e-05     -9.324315881113586e-05     
Lambda        Linear_AB11_off|SWOPE|SWOPE_i            7362.301346921463     All      -3.727084050782555e-05     -1.0677339377738111e-06    -8.980481438114105e-05    7.78496644945779e-06       
Lambda        Linear_AB11_off|SWOPE|SWOPE_g            4651.831595435184     All      -0.00016165703184899008    0.00011927165727944036     -0.0004905134921204227    6.961835202212786e-05      
Lambda        Linear_AB11_off|SWOPE|SWOPE_B            4258.334561503349     All      -0.00044515569967792923    0.00021339891553673237     -0.0004907715699929402    0.00019261202284222436     
Lambda        Linear_AB11_off|SWOPE|SWOPE_u            3480.0137768925815    All      -0.00046072317074685265    0.00015493146123784406     -5.327153220517959e-05    0.00019816170425817172     
Lambda        Linear_AB11_off|SWOPE|SWOPE_V-LC-9844    5201.898318067029     All      0.0003119573854326129      7.67508137370222e-05       -0.0012423164836948832    -0.00013205339738169046    
MWEBV         All|All|All                              All                   All      -0.9721168354259087        -3.892283840665378         -0.023442103272586223     -0.9522405776507537        
Redshift      All|All|All                              All                   All      3.9852812695061828         -1.1024517830477976        7.975860959401526         -1.3013159938488505        
