#Format:      
#Parameter    MagSys|Instrument|Band    RestLamb              Phase    dmu/dP                    dmB/dP                    ds/dP                      dc/dP                      
Zeropoint     AB|PS|PS_g                4060.7498160275554    All      -0.9155129099419917       0.5517121146620951        -0.18776083591778292       0.46954455703040743        
Zeropoint     AB|PS|PS_i                6246.094420263818     All      1.6344700625620714        -0.2158121006104352       -0.5974298813321344        -0.629358324728016         
Zeropoint     AB|PS|PS_r                5156.876598630873     All      0.27595104343839116       0.6644075968576857        0.7863000949522636         0.16162204118167905        
Check         All|All|All               All                   All      0.9949081960584706        1.0003076109093456        0.0011093777023463147      0.0018082734840704773      
Lambda        AB|PS|PS_g                4060.7498160275554    All      -0.000794199112639563     0.0003700361100438523     -0.0006208802619124945     0.0003515226797398709      
Lambda        AB|PS|PS_i                6246.094420263818     All      0.00025903549774692534    -4.013470594009431e-05    -0.00013681364134141764    -0.00010355494219895567    
Lambda        AB|PS|PS_r                5156.876598630873     All      -6.736076017663464e-05    1.13759788846034e-05      -0.0009039986254125013     -1.469416046263018e-05     
MWEBV         All|All|All               All                   All      -0.573915056447432        -3.2210848169395234       0.023995959147216084       -0.8611994508432974        
Redshift      All|All|All               All                   All      6.901986467434878         -0.04326111380095199      0.8983807169363089         -2.2222050237835687        
