#Format:      
#Parameter    MagSys|Instrument|Band    RestLamb             Phase    dmu/dP                    dmB/dP                     ds/dP                     dc/dP                     
Zeropoint     AB|PS|PS_g                3857.15474875085     All      -0.5323657226876384       0.4021159633959215         0.2143457840028229        0.3139566965771813        
Zeropoint     AB|PS|PS_z                6818.386608078505    All      1.6152179405019467        -0.0595922465542742        2.989984158370773         -0.4121115170551873       
Zeropoint     AB|PS|PS_i                5932.932055842588    All      -0.25380205199968053      0.03508751421001932        -4.248152172842056        -0.09547468451780519      
Zeropoint     AB|PS|PS_r                4898.324684427253    All      0.18378312265442232       0.6160600766119018         1.127232696632674         0.19111004345151658       
Check         All|All|All               All                  All      1.01283328846905          0.9936713076635684         0.08341046616421366       -0.00251946154429461      
Lambda        AB|PS|PS_g                3857.15474875085     All      -0.0006113805503710924    0.00047143294597569766     0.0008185872457631856     0.0003892377684092334     
Lambda        AB|PS|PS_z                6818.386608078505    All      -0.0016218821621787518    3.188330002125599e-05      -0.0029954804948613078    0.0004050112815648237     
Lambda        AB|PS|PS_i                5932.932055842588    All      0.0001152287354904531     -3.9191075098624095e-05    0.0015239000524047178     1.7705047749305914e-05    
Lambda        AB|PS|PS_r                4898.324684427253    All      4.141288693795048e-05     -1.1748287227876717e-05    0.000811924894224002      1.891613561656713e-05     
MWEBV         All|All|All               All                  All      -0.449799709916896        -2.9924427871357295        0.12694341237629025       -0.8225575992583979       
Redshift      All|All|All               All                  All      10.428981338677943        -0.015650826546043106      22.28726130034383         -2.4075822042595707       
