#Format:      
#Parameter    MagSys|Instrument|Band    RestLamb             Phase    dmu/dP                    dmB/dP                     ds/dP                    dc/dP                     
Zeropoint     AB|PS|PS_g                3857.15474875085     All      -0.529159706058583        0.4186827076589239         0.6845532303544751       0.3392919238684267        
Zeropoint     AB|PS|PS_z                6818.386608078505    All      1.8021509604711636        -0.05506346201027412       3.8422425353672254       -0.43349420037007425      
Zeropoint     AB|PS|PS_i                5932.932055842588    All      -0.4112340176921315       0.06186394372544868        -5.125516548159385       -0.07462469240399201      
Zeropoint     AB|PS|PS_r                4898.324684427253    All      0.1610419704318724        0.5646497111499116         0.7115266338335188       0.16322048519649227       
Check         All|All|All               All                  All      1.0227992071523213        0.99013290052401           0.11280585139583421      -0.005606483709147264     
Lambda        AB|PS|PS_g                3857.15474875085     All      -0.0005942640970263458    0.00043891564972748097     0.0010992523087759605    0.0003855952159791966     
Lambda        AB|PS|PS_z                6818.386608078505    All      -0.001838959351780444     8.245469611402685e-05      -0.003930203508372075    0.0004504808362369696     
Lambda        AB|PS|PS_i                5932.932055842588    All      0.00019543678545258741    -2.9039535657166136e-05    0.0022956338399724536    2.9324271976049703e-05    
Lambda        AB|PS|PS_r                4898.324684427253    All      0.0002350469664024416     -8.06287681865991e-05      0.001472252014200932     -3.712612659397818e-05    
MWEBV         All|All|All               All                  All      -0.4469152322818064       -2.9926159398755203        0.1382635954146899       -0.8230484022872644       
Redshift      All|All|All               All                  All      10.620933302641808        0.013900184551651762       21.430901243466455       -2.498696953659691        
