#Format:      
#Parameter    MagSys|Instrument|Band    RestLamb              Phase    dmu/dP                    dmB/dP                    ds/dP                     dc/dP                     
Zeropoint     AB|SDSS|SDSS_u            3187.7641355505257    All      -0.09267458086931335      0.05609990064545656       0.13715809743489182       0.05458147910858309       
Zeropoint     AB|SDSS|SDSS_z            7897.081820716286     All      0.11051525912406335       -0.004459685351143605     0.10821334856158105       -0.03262205723852454      
Zeropoint     AB|SDSS|SDSS_r            5477.354947885939     All      0.8103670354191643        0.2961687323354667        -0.722840390495838        -0.19974835067805458      
Zeropoint     AB|SDSS|SDSS_g            4191.742954534303     All      -0.7669702690114445       0.6516176371286875        -0.09105463217714826      0.4580174011504439        
Zeropoint     AB|SDSS|SDSS_i            6642.250218456742     All      0.9310953954448877        0.0011427062711177882     0.5738283341910205        -0.2773088623418893       
Check         All|All|All               All                   All      0.9923328401073575        1.000569291029585         0.005304757514507097      0.0029196100005586256     
Lambda        AB|SDSS|SDSS_u            3187.7641355505257    All      -7.032796193263623e-05    3.9995160052088525e-05    8.170086879377552e-05     3.958180488907883e-05     
Lambda        AB|SDSS|SDSS_z            7897.081820716286     All      1.0282123233993318e-05    8.22619575775791e-08      2.2431033539202075e-05    -2.321436378353438e-06    
Lambda        AB|SDSS|SDSS_r            5477.354947885939     All      0.0001838256224765918     4.877768160543015e-05     -0.0010160856462795977    -8.933279296790442e-05    
Lambda        AB|SDSS|SDSS_g            4191.742954534303     All      -0.0006242498672009744    0.0003443022707218282     -0.0011919156440532675    0.0002622995748167769     
Lambda        AB|SDSS|SDSS_i            6642.250218456742     All      -0.0003622101312400239    -6.135008886793564e-06    -0.0003895170339241168    9.860302563701185e-05     
MWEBV         All|All|All               All                   All      -0.788765731061162        -3.4579896169853797       0.14062523701301455       -0.8631785760434642       
Redshift      All|All|All               All                   All      2.4519601252536303        -0.17594835589420654      0.5147210757540654        -0.8330266103483811       
