#Format:      
#Parameter    MagSys|Instrument|Band    RestLamb              Phase    dmu/dP                     dmB/dP                     ds/dP                      dc/dP                     
Zeropoint     AB|SDSS|SDSS_u            3187.7641355505257    All      -0.11321279506477515       0.06558715090712042        0.10700887080119575        0.06301633917643629       
Zeropoint     AB|SDSS|SDSS_z            7897.081820716286     All      0.14053035172002912        -0.007831358765386653      0.11954895092725237        -0.042991369448984434     
Zeropoint     AB|SDSS|SDSS_r            5477.354947885939     All      0.7786222838021337         0.3292586203768266         -0.6519432879310391        -0.1754657634761757       
Zeropoint     AB|SDSS|SDSS_g            4191.742954534303     All      -0.719538888446692         0.6177147564722318         -0.11642433398975172       0.4303920231799114        
Zeropoint     AB|SDSS|SDSS_i            6642.250218456742     All      0.9061978028955655         -0.0041309081534990355     0.5468798551054064         -0.2721192739086723       
Check         All|All|All               All                   All      0.992598754906261          1.0005982608372932         0.005070054913063782       0.0028319555225152504     
Lambda        AB|SDSS|SDSS_u            3187.7641355505257    All      -7.819870688991661e-05     4.572809500827535e-05      7.707290920891014e-05      4.3806446403847766e-05    
Lambda        AB|SDSS|SDSS_z            7897.081820716286     All      1.1677962707907523e-05     -1.0104810518837981e-07    2.2308014030862664e-05     -2.841307130575804e-06    
Lambda        AB|SDSS|SDSS_r            5477.354947885939     All      0.00018316876807400044     5.3887414332712583e-05     -0.000958430418985411      -8.488153783136456e-05    
Lambda        AB|SDSS|SDSS_g            4191.742954534303     All      -0.0006166865767771367     0.0003282372202884159      -0.0012614504379549597     0.0002515000283601704     
Lambda        AB|SDSS|SDSS_i            6642.250218456742     All      -0.00034780447630933725    -5.961169163828898e-06     -0.00038856622077523324    9.40096856349516e-05      
MWEBV         All|All|All               All                   All      -0.7980773239319041        -3.4406457393229672        0.20321899636372404        -0.851702740354799        
Redshift      All|All|All               All                   All      2.348094945420159          -0.23211206297375497       -0.07056017831050694       -0.8436070856099198       
