#Format:      
#Parameter    MagSys|Instrument|Band    RestLamb              Phase    dmu/dP                     dmB/dP                    ds/dP                     dc/dP                      
Zeropoint     VEGAHST|UVOT|UVOT_v       5389.42697357898      All      1.8870968882212846         0.4369690551254468        1.1628883552299296        -0.4204599766870806        
Zeropoint     VEGAHST|UVOT|UVOT_u       3460.6952973452703    All      -0.6555418061603284        0.21081065363421914       0.36982510887808573       0.29870309436835357        
Zeropoint     VEGAHST|UVOT|UVOT_b       4337.889874784626     All      -0.23373894367885606       0.3513155803022361        -1.5217147935851383       0.12266436392831537        
Check         All|All|All               All                   All      0.9978161383821001         0.999095289061902         0.010998670522877063      0.000907481609588312       
Lambda        VEGAHST|UVOT|UVOT_v       5389.42697357898      All      0.000843237800691579       0.00018843592137219122    0.0007756477410413227     -0.00017867691817482947    
Lambda        VEGAHST|UVOT|UVOT_u       3460.6952973452703    All      -0.00011984096466344273    -0.0001367385603499959    -0.0015620162880953514    -7.520971568586851e-05     
Lambda        VEGAHST|UVOT|UVOT_b       4337.889874784626     All      -0.000544679436454798      -0.0001862280737149053    -0.0036169540455709085    -4.464864544082144e-05     
MWEBV         All|All|All               All                   All      -1.5849600586749388        -3.8509519558678207       0.49935449166462753       -0.7158242123240482        
Redshift      All|All|All               All                   All      1.167282609300316          -0.12465130440606487      1.2798116487087174        -0.3637132631378784        
