#Format:      
#Parameter    MagSys|Instrument|Band                   RestLamb              Phase    dmu/dP                     dmB/dP                     ds/dP                     dc/dP                      
Zeropoint     Linear_AB11_off|SWOPE|SWOPE_r            6160.3870812300665    All      1.0011091744847334         -0.01942459918753414       0.24770146827011175       -0.32136764577174665       
Zeropoint     Linear_AB11_off|SWOPE|SWOPE_g            4759.065226932754     All      -0.1921323703220849        0.4146530646204738         0.014420338824427947      0.1982934923001646         
Zeropoint     Linear_AB11_off|SWOPE|SWOPE_u            3560.2347623908445    All      -0.2825978827944384        0.10505577063852911        -0.06525869641622606      0.1233593524507963         
Zeropoint     Linear_AB11_off|SWOPE|SWOPE_V-LC-9844    5321.81204148617      All      0.7057176871331323         0.1819971947828236         -0.05784305773501863      -0.17317426425407373       
Zeropoint     Linear_AB11_off|SWOPE|SWOPE_i            7532.016499633474     All      0.2787219761994286         -0.02681680509457607       0.06650627990715252       -0.09655616317482893       
Zeropoint     Linear_AB11_off|SWOPE|SWOPE_B            4356.497332401958     All      -0.5172680711646772        0.3426201834032305         -0.20509614948079902      0.2709413948172763         
Check         All|All|All                              All                   All      0.993550513536094          0.9980848091629468         0.0004301833696485069     0.00149616636758787        
Lambda        Linear_AB11_off|SWOPE|SWOPE_r            6160.3870812300665    All      -0.00010531940127540375    -1.9961167773426293e-05    -0.0002672496826028566    1.5877858952894492e-05     
Lambda        Linear_AB11_off|SWOPE|SWOPE_g            4759.065226932754     All      -0.0001486524768865483     -6.335988265434302e-05     -0.0012197682156238965    -2.665004928608096e-05     
Lambda        Linear_AB11_off|SWOPE|SWOPE_u            3560.2347623908445    All      -0.0003634606935148321     7.675817784426376e-05      -0.0005561857614605427    0.00011857375310716663     
Lambda        Linear_AB11_off|SWOPE|SWOPE_V-LC-9844    5321.81204148617      All      0.00026276042308040893     1.6748140574125846e-05     -0.0009664380338269373    -0.00012326198473634317    
Lambda        Linear_AB11_off|SWOPE|SWOPE_i            7532.016499633474     All      -4.066917804616742e-05     -1.9791678557451967e-06    -6.794592623266426e-05    9.570494559135904e-06      
Lambda        Linear_AB11_off|SWOPE|SWOPE_B            4356.497332401958     All      -0.00036075373400288864    9.075995238699742e-05      -0.0008811306241110465    0.00010775204914875331     
MWEBV         All|All|All                              All                   All      -1.1023865880540797        -3.967990579878844         0.014004568369485604      -0.9327965361427181        
Redshift      All|All|All                              All                   All      4.219471659117179          1.3121482471572854         6.790551156437751         -0.6439797731361309        
