#Format:      
#Parameter    MagSys|Instrument|Band    RestLamb             Phase    dmu/dP                     dmB/dP                     ds/dP                     dc/dP                      
Zeropoint     VEGAHST|UVOT|UVOT_v       5398.365115820203    All      2.2007146334624825         0.34686479245227275        0.5132523590432029        -0.5809557875639385        
Zeropoint     VEGAHST|UVOT|UVOT_b       4345.084086139128    All      -0.6146765992817341        0.47883577955722956        -0.5792198821112333       0.33034503419860745        
Zeropoint     VEGAHST|UVOT|UVOT_u       3466.434717690484    All      -0.5981420809427545        0.1757409557750389         0.07269846191604624       0.2553233635180103         
Check         All|All|All               All                  All      0.9878959532379942         1.0014415277845412         0.006730938848015802      0.004712610152679264       
Lambda        VEGAHST|UVOT|UVOT_v       5398.365115820203    All      0.00047039275891661394     8.746885501686766e-05      0.0004044792248794962     -0.00010668086322190726    
Lambda        VEGAHST|UVOT|UVOT_b       4345.084086139128    All      -0.00023185160698658996    -0.00012786054423403489    -0.001991289554564309     -5.4988796815229727e-05    
Lambda        VEGAHST|UVOT|UVOT_u       3466.434717690484    All      -0.00016010844581867118    -9.76924213471909e-05      -0.0012548627592598304    -3.5667808973002115e-05    
MWEBV         All|All|All               All                  All      -1.4542359986614173        -3.9098189144780804        0.25038366202709866       -0.7886906690941208        
Redshift      All|All|All               All                  All      -0.6065922276824585        0.1115349647787589         -4.926583054362081        0.014066877528863908       
