#Format:      
#Parameter    MagSys|Instrument|Band    RestLamb             Phase    dmu/dP                     dmB/dP                     ds/dP                     dc/dP                      
Zeropoint     VEGAHST|UVOT|UVOT_v       5398.365115820203    All      2.0178525441652706         0.34442645097185753        0.43258124816813737       -0.5257858183043578        
Zeropoint     VEGAHST|UVOT|UVOT_b       4345.084086139128    All      -0.45159598391893474       0.4868198895313647         -0.4989764050265341       0.2834058977073825         
Zeropoint     VEGAHST|UVOT|UVOT_u       3466.434717690484    All      -0.4329299369718047        0.14307709210177322        0.11042422798700074       0.19255216557257232        
Check         All|All|All               All                  All      1.1333266232745314         0.9743234326049954         0.04402907112860399       -0.04982775502440295       
Lambda        VEGAHST|UVOT|UVOT_v       5398.365115820203    All      0.0006884152850145007      6.878729816377758e-05      0.00015119847712455486    -0.00019508592686796715    
Lambda        VEGAHST|UVOT|UVOT_b       4345.084086139128    All      -0.00033676135882630746    -8.081837501387115e-05     -0.0019144841027055254    -2.0655824945344325e-06    
Lambda        VEGAHST|UVOT|UVOT_u       3466.434717690484    All      -0.0001992841369550901     -0.00012975305447931492    -0.0020638497744433298    -6.945157544721857e-05     
MWEBV         All|All|All               All                  All      -1.4488835881666455        -3.8940544026288215        0.3522077146476163        -0.780755165327509         
Redshift      All|All|All               All                  All      -0.3665256557680466        -0.2495975197240874        -3.4608741368782323       -0.11635557677796698       
