#Format:      
#Parameter    MagSys|Instrument|Band    RestLamb              Phase    dmu/dP                     dmB/dP                     ds/dP                     dc/dP                     
Zeropoint     AB|SDSS|SDSS_g            4168.162851609611     All      -0.8493466162109344        0.6484305321686534         -0.236730107611538        0.47731111519114244       
Zeropoint     AB|SDSS|SDSS_z            7852.657817585135     All      0.13458787349437018        -0.006519965107187886      0.12261940353216483       -0.04049152453343696      
Zeropoint     AB|SDSS|SDSS_i            6604.885106735531     All      1.0388229040186336         -0.016471912830873237      0.5610668520832529        -0.31870640329449557      
Zeropoint     AB|SDSS|SDSS_u            3169.8317844423514    All      -0.09777393247803856       0.07239755001648973        0.2277936180118123        0.06559583327757218       
Zeropoint     AB|SDSS|SDSS_r            5446.542802478378     All      0.7677771045990326         0.30322328740179927        -0.6610985339661701       -0.1808222528829312       
Check         All|All|All               All                   All      0.9940673334230634         1.0010594916488813         0.0136512320495219        0.0028867677578509054     
Lambda        AB|SDSS|SDSS_g            4168.162851609611     All      -0.0007413547874251427     0.0003910163294905428      -0.0013741490531736496    0.00030752856567781617    
Lambda        AB|SDSS|SDSS_z            7852.657817585135     All      5.767587991068775e-06      1.7488337431942302e-06     2.731624311182435e-05     -9.00420005063871e-08     
Lambda        AB|SDSS|SDSS_i            6604.885106735531     All      -0.00033536301203848727    -1.2514881787146238e-05    -0.0004245523016081097    8.621643808828339e-05     
Lambda        AB|SDSS|SDSS_u            3169.8317844423514    All      -6.468378474376909e-05     3.9366004471247654e-05     9.583634992687712e-05     3.816917562052082e-05     
Lambda        AB|SDSS|SDSS_r            5446.542802478378     All      0.00018396822453767297     6.115492303784947e-05      -0.0008085955762900527    -7.608823956076898e-05    
MWEBV         All|All|All               All                   All      -0.7066869646685032        -3.451251775832631         0.2224773468110619        -0.8840669103097761       
Redshift      All|All|All               All                   All      3.828026546573703          -0.5227455498554079        5.000511609799718         -1.1940397413311237       
