#Format:      
#Parameter    MagSys|Instrument|Band    RestLamb              Phase    dmu/dP                     dmB/dP                     ds/dP                      dc/dP                     
Zeropoint     AB|SDSS|SDSS_g            4168.162851609611     All      -0.7372118375860021        0.5677993510118995         -0.43493331503332494       0.4056760014457121        
Zeropoint     AB|SDSS|SDSS_z            7852.657817585135     All      0.1321268474751621         -0.004210530932624579      0.11183374524587389        -0.03941894309742735      
Zeropoint     AB|SDSS|SDSS_i            6604.885106735531     All      0.936325926596433          0.008844601802238117       0.5195808670601092         -0.27892467296643647      
Zeropoint     AB|SDSS|SDSS_u            3169.8317844423514    All      -0.10479204417480945       0.07437548065425403        0.19423498596575828        0.06702857260793889       
Zeropoint     AB|SDSS|SDSS_r            5446.542802478378     All      0.7666555506611804         0.3541494602671946         -0.3804635481580247        -0.15134514543701472      
Check         All|All|All               All                   All      0.9931044429719641         1.0009583628029617         0.010252735080391762       0.0030158125527724455     
Lambda        AB|SDSS|SDSS_g            4168.162851609611     All      -0.0006488019350714951     0.00029014612647001596     -0.001594701687148429      0.0002346820620202529     
Lambda        AB|SDSS|SDSS_z            7852.657817585135     All      3.6261022201463862e-06     1.101994361744949e-06      1.975252360403628e-05      5.9279438225255196e-08    
Lambda        AB|SDSS|SDSS_i            6604.885106735531     All      -0.00031470024267016023    -1.5932378003821027e-05    -0.00038922141923788825    7.99493583813513e-05      
Lambda        AB|SDSS|SDSS_u            3169.8317844423514    All      -6.698694850544903e-05     4.8649355090146416e-05     0.00013308459504563186     4.360550264392411e-05     
Lambda        AB|SDSS|SDSS_r            5446.542802478378     All      0.0001538305350745291      4.4109827382462206e-05     -0.0007516421726030967     -6.928198219501341e-05    
MWEBV         All|All|All               All                   All      -0.7869563307748444        -3.3931211403984918        0.3440344966341485         -0.8335609392784264       
Redshift      All|All|All               All                   All      3.535069600457742          -0.35471983596835344       3.256469818854196          -1.1217110981247789       
