#Format:      
#Parameter    MagSys|Instrument|Band    RestLamb             Phase    dmu/dP                    dmB/dP                     ds/dP                     dc/dP                      
Zeropoint     AB|PS|PS_g                3749.194422882061    All      -0.5906328212570029       0.38430484437057544        0.2547258736312634        0.3289365180179353         
Zeropoint     AB|PS|PS_z                6627.542504572953    All      0.9210799815025192        0.040570561374764225       1.216058959813625         -0.23254375981540337       
Zeropoint     AB|PS|PS_r                4761.22239955959     All      -0.2437149634460063       0.5124531178985592         -0.2726293269212971       0.23414262656558563        
Zeropoint     AB|PS|PS_i                5766.871495707275    All      0.9079715496735051        0.06239494125779288        -1.189096641196097        -0.32849604177836406       
Check         All|All|All               All                  All      0.9947037464730155        0.9997234649016917         0.009058865327494336      0.0020393429897534454      
Lambda        AB|PS|PS_g                3749.194422882061    All      -0.0009012506588335334    0.0004556592224204383      -0.000789655305719615     0.0004067514997949136      
Lambda        AB|PS|PS_z                6627.542504572953    All      -0.0006757353294186708    -4.69462010754309e-05      -0.0009423579538873847    0.00016276419826080402     
Lambda        AB|PS|PS_r                4761.22239955959     All      -8.84772034150273e-05     -1.5290085564056353e-05    -0.0007588318305971382    -1.0023727342292183e-05    
Lambda        AB|PS|PS_i                5766.871495707275    All      -0.0002583935755217469    -3.019714631435051e-05     0.00047858928371212776    9.568832608337391e-05      
MWEBV         All|All|All               All                  All      -0.4695333516711706       -2.857828571824683         0.1131711271394018        -0.7728960181548582        
Redshift      All|All|All               All                  All      5.019914563716343         0.5497055462583944         1.4523714736393323        -1.3912814741268273        
