#Format:      
#Parameter    MagSys|Instrument|Band    RestLamb             Phase    dmu/dP                    dmB/dP                     ds/dP                     dc/dP                      
Zeropoint     AB|PS|PS_g                3749.194422882061    All      -0.6077695681414076       0.40970545709910766        0.39611614290050445       0.34910193381690047        
Zeropoint     AB|PS|PS_z                6627.542504572953    All      0.9264897690013846        0.0420567378522918         1.0212739183317665        -0.24251417079401982       
Zeropoint     AB|PS|PS_r                4761.22239955959     All      -0.1826693608739698       0.47797960299469366        -0.3191809696539649       0.2009515215068633         
Zeropoint     AB|PS|PS_i                5766.871495707275    All      0.8508530513560917        0.06743991374413838        -1.1179844474328404       -0.3050739436189748        
Check         All|All|All               All                  All      0.986903891342099         0.9971817116902315         -0.019775355854534382     0.002465340910769165       
Lambda        AB|PS|PS_g                3749.194422882061    All      -0.0008915359368415102    0.000416393732960862       -0.0009830857652371738    0.00038216512050973274     
Lambda        AB|PS|PS_z                6627.542504572953    All      -0.0006962901369300715    -4.2429038208335384e-05    -0.0008154464397693433    0.0001765944418479922      
Lambda        AB|PS|PS_r                4761.22239955959     All      -8.47892796883062e-05     -3.1048509896297e-05       -0.0007064620915200111    -1.4021021741443749e-05    
Lambda        AB|PS|PS_i                5766.871495707275    All      -0.0003506594182572411    -6.783633264734664e-05     0.0003479689583157636     0.00010765304003229774     
MWEBV         All|All|All               All                  All      -0.48083434928601854      -2.8524869571000977        0.11068530825877332       -0.7675859024699111        
Redshift      All|All|All               All                  All      5.09194019913841          0.8019025178841233         2.0310397970952576        -1.306770432916038         
