#Format:      
#Parameter    MagSys|Instrument|Band    RestLamb             Phase    dmu/dP                     dmB/dP                     ds/dP                     dc/dP                     
Zeropoint     AB|SDSS|SDSS_u            3314.159084236929    All      -0.17406183633622102       0.11437207696758378        0.04546316209876357       0.0959812268766565        
Zeropoint     AB|SDSS|SDSS_z            8210.201364402155    All      0.1920536259802906         -0.011613704880630848      0.11534927775915613       -0.06119364163124335      
Zeropoint     AB|SDSS|SDSS_i            6905.615649468815    All      0.7588377085816497         -0.02604078931547349       0.2207588363669405        -0.2458092955422972       
Zeropoint     AB|SDSS|SDSS_r            5694.532244617052    All      0.8156164042932401         0.29214078863795123        -0.3320456786093113       -0.18533090346083536      
Zeropoint     AB|SDSS|SDSS_g            4357.945695112366    All      -0.5988429426795371        0.631269182114913          -0.04755583242178093      0.39856579014744825       
Check         All|All|All               All                  All      0.9936029598394225         1.0001275535243437         0.001969765193767993      0.0022131763897288437     
Lambda        AB|SDSS|SDSS_u            3314.159084236929    All      -0.0001269738011837828     8.390109843236688e-05      3.728731071416742e-05     7.035285380586014e-05     
Lambda        AB|SDSS|SDSS_z            8210.201364402155    All      -6.277106811490521e-06     7.761424913507436e-07      4.183078400934774e-06     2.4841469197945695e-06    
Lambda        AB|SDSS|SDSS_i            6905.615649468815    All      -0.0005601089024771765     -5.6002340114554674e-05    -0.0008296414609093584    0.00012718100397981748    
Lambda        AB|SDSS|SDSS_r            5694.532244617052    All      -0.00022182958867298576    -9.937697460105315e-05     -0.0006496423904171134    1.0896288789833246e-05    
Lambda        AB|SDSS|SDSS_g            4357.945695112366    All      -0.0003830598576567727     0.0002050071732427138      -0.0006109905832503596    0.00016428707524240627    
MWEBV         All|All|All               All                  All      -0.8631330379156394        -3.6052830219453824        0.08660070834296606       -0.889343871982657        
Redshift      All|All|All               All                  All      7.400487173522396          1.2672232098427827         6.729907545999418         -1.6974809869308445       
