#Format:      
#Parameter    MagSys|Instrument|Band    RestLamb             Phase    dmu/dP                     dmB/dP                     ds/dP                     dc/dP                     
Zeropoint     AB|SDSS|SDSS_u            3314.159084236929    All      -0.15978242298712053       0.10648592099116172        0.03818552369163619       0.08843640414463727       
Zeropoint     AB|SDSS|SDSS_z            8210.201364402155    All      0.2047331162393646         -0.016031018290618704      0.12097440282181071       -0.0665116095581092       
Zeropoint     AB|SDSS|SDSS_i            6905.615649468815    All      0.7733035043770755         -0.056361146996053435      0.08919819256070216       -0.2662685664470074       
Zeropoint     AB|SDSS|SDSS_r            5694.532244617052    All      0.7787668397129763         0.2860293845813544         -0.38592772743543113      -0.17772298169064366      
Zeropoint     AB|SDSS|SDSS_g            4357.945695112366    All      -0.6034938764784338        0.6802866000864327         0.14028115972976596       0.42442964021102425       
Check         All|All|All               All                  All      0.9935271608638622         1.0004097403722767         0.0027115513684838888     0.0023628866599012532     
Lambda        AB|SDSS|SDSS_u            3314.159084236929    All      -0.00013518240591652307    8.991661889984977e-05      3.622092968582995e-05     7.493853165580832e-05     
Lambda        AB|SDSS|SDSS_z            8210.201364402155    All      -5.981109895542486e-06     1.4232195684168468e-06     7.755519168273055e-06     2.757926902284281e-06     
Lambda        AB|SDSS|SDSS_i            6905.615649468815    All      -0.000610931797468551      -5.2848884202275585e-05    -0.0008887090673670651    0.00014212696124983308    
Lambda        AB|SDSS|SDSS_r            5694.532244617052    All      -0.0001773448945658738     -9.077129917443157e-05     -0.0006208778506951604    4.929413179821763e-07     
Lambda        AB|SDSS|SDSS_g            4357.945695112366    All      -0.00041767934220403985    0.00028248930361320226     -0.0004819528247609809    0.00020656062176709698    
MWEBV         All|All|All               All                  All      -0.8311197988859567        -3.6228110626066012        0.09213504685983143       -0.9052341245279635       
Redshift      All|All|All               All                  All      7.42794456038866           0.8881466597527421         5.884253071002537         -1.8676401400353648       
