#Format:      
#Parameter    MagSys|Instrument|Band    RestLamb              Phase    dmu/dP                     dmB/dP                     ds/dP                      dc/dP                     
Zeropoint     AB|PS|PS_r                4953.1218742482815    All      0.5713592005066239         0.5785405409366007         2.2463500543770776         0.10258348465134737       
Zeropoint     AB|PS|PS_z                6894.663386223465     All      0.35951127510799996        -0.027784056598179063      -0.023434885549211693      -0.12720062248417624      
Zeropoint     AB|PS|PS_i                5999.303320510456     All      0.9892054749491255         0.016085577066782264       -1.4998437850915591        -0.3839083050292791       
Zeropoint     AB|PS|PS_g                3900.3044488122487    All      -0.9167754193100797        0.4306296949806665         -0.6942323319964139        0.4079137735528461        
Check         All|All|All               All                   All      1.0033005312536698         0.9974717563858704         0.028839051739892874       -0.0006116693092618752    
Lambda        AB|PS|PS_r                4953.1218742482815    All      -0.0002868286054923921     -0.00013573085450422712    -0.001598283707554389      -2.21065527513962e-05     
Lambda        AB|PS|PS_z                6894.663386223465     All      -0.00040832569983305524    1.603579194006137e-05      -0.00020587460995028607    0.0001290412606546995     
Lambda        AB|PS|PS_i                5999.303320510456     All      -0.00034912503514298514    -3.137876944397452e-05     -0.0007449392516969444     7.02571948588043e-05      
Lambda        AB|PS|PS_g                3900.3044488122487    All      -0.0008956410419601276     0.00030023069222250834     -0.0017381220342912928     0.00031197036335007454    
MWEBV         All|All|All               All                   All      -0.5010170245441365        -3.0378170371605506        0.08986919430380436        -0.8223087729631248       
Redshift      All|All|All               All                   All      5.171224653546136          0.5446792668960754         3.7963378561936545         -1.3376049186812802       
