#Format:      
#Parameter    MagSys|Instrument|Band    RestLamb              Phase    dmu/dP                    dmB/dP                    ds/dP                     dc/dP                      
Zeropoint     AB|SDSS|SDSS_g            4203.782171117571     All      -0.8931702987000213       0.6500853258760486        -0.3448990469202341       0.4872978681263837         
Zeropoint     AB|SDSS|SDSS_u            3196.9197978276584    All      -0.08726231993819716      0.052384568120444897      0.08505477188618239       0.04928318951369676        
Zeropoint     AB|SDSS|SDSS_z            7919.763239745701     All      0.10667454937985467       -0.00937940358358702      0.028875682838718057      -0.03651400143796004       
Zeropoint     AB|SDSS|SDSS_r            5493.086604916506     All      1.0457495164147648        0.34553412731579414       0.09873851768960905       -0.2236769420767082        
Zeropoint     AB|SDSS|SDSS_i            6661.3276022199225    All      0.8220369808268385        -0.03799923681757633      0.138506602286914         -0.27396117691567023       
Check         All|All|All               All                   All      0.9940284279832393        1.0006253809111243        0.006276527781189395      0.0024289372097420214      
Lambda        AB|SDSS|SDSS_g            4203.782171117571     All      -0.0007900082941536531    0.00032855468563421997    -0.0013897278764939186    0.0003023355898072333      
Lambda        AB|SDSS|SDSS_u            3196.9197978276584    All      -6.291415801287884e-05    3.7880552585952205e-05    6.230759756204017e-05     3.5612655200270534e-05     
Lambda        AB|SDSS|SDSS_z            7919.763239745701     All      1.475505756005026e-05     8.800289215048742e-07     3.6155108961807346e-05    -2.9061168439015567e-06    
Lambda        AB|SDSS|SDSS_r            5493.086604916506     All      0.0001811475460398598     2.2535399683904913e-05    -0.0005698497271322208    -7.709497034953394e-05     
Lambda        AB|SDSS|SDSS_i            6661.3276022199225    All      -0.0004142873423070071    -3.30491940742968e-07     -0.0003969496935794192    0.00011712532323970154     
MWEBV         All|All|All               All                   All      -0.7662843351453126       -3.476271584116475        0.14916879981139688       -0.8760752844941372        
Redshift      All|All|All               All                   All      2.625407119163018         -0.13205911471043663      -1.0964533763128672       -0.9471271486737192        
