#Format:      
#Parameter    MagSys|Instrument|Band    RestLamb              Phase    dmu/dP                     dmB/dP                    ds/dP                      dc/dP                     
Zeropoint     AB|SDSS|SDSS_g            4203.782171117571     All      -0.9333008616635993        0.750881311552476         -0.1234002800154066        0.5430867540240927        
Zeropoint     AB|SDSS|SDSS_u            3196.9197978276584    All      -0.050968855382164724      0.022227622269532787      -0.008772220534192243      0.023451036950655757      
Zeropoint     AB|SDSS|SDSS_z            7919.763239745701     All      0.16369229186398707        -0.011323516761052588     0.1298746879118795         -0.05121269588961308      
Zeropoint     AB|SDSS|SDSS_r            5493.086604916506     All      0.9193081215903205         0.2811154652732739        -0.2862606412729285        -0.220654841749654        
Zeropoint     AB|SDSS|SDSS_i            6661.3276022199225    All      0.8903429646593355         -0.042465877710995414     0.2715989452748424         -0.2917263149406116       
Check         All|All|All               All                   All      0.9890736610678791         1.0004350046232346        -0.01695950863580542       0.002943938394869783      
Lambda        AB|SDSS|SDSS_g            4203.782171117571     All      -0.0010408595580297445     0.0005502548598539253     -0.0014858667419578148     0.0004519709036597554     
Lambda        AB|SDSS|SDSS_u            3196.9197978276584    All      -5.050059206746193e-05     2.3307859565864906e-05    -6.919850145698524e-07     2.401096080987973e-05     
Lambda        AB|SDSS|SDSS_z            7919.763239745701     All      7.836335390230949e-06      2.0760716510764753e-06    3.577234804076077e-05      -2.799518102834685e-07    
Lambda        AB|SDSS|SDSS_r            5493.086604916506     All      0.00023864289365305204     4.930628944420319e-05     -0.0003737586194462495     -7.835229155471826e-05    
Lambda        AB|SDSS|SDSS_i            6661.3276022199225    All      -0.00034499975337569226    1.0294460846958883e-05    -0.00020585093717921354    0.00010654483251762178    
MWEBV         All|All|All               All                   All      -0.7331007085221595        -3.5016660848137704       0.11371424240289585        -0.8967382817858027       
Redshift      All|All|All               All                   All      1.2276533469501372         -0.4438118650696765       -0.6314355870904897        -0.5726292793000687       
