#Format:      
#Parameter    MagSys|Instrument|Band    RestLamb              Phase    dmu/dP                     dmB/dP                    ds/dP                     dc/dP                      
Zeropoint     AB|PS|PS_z                6456.191479937633     All      1.0283916100506634         0.08586437047171103       1.5544292702614482        -0.23764509105965273       
Zeropoint     AB|PS|PS_g                3652.2613129888246    All      -0.5666851568152524        0.3883923642863607        -0.47027831556125665      0.2901138084266192         
Zeropoint     AB|PS|PS_i                5617.77258928037      All      0.6619586483055482         0.18915836958601773       -2.926205288712902        -0.2845897079065792        
Zeropoint     AB|PS|PS_r                4638.123930388212     All      -0.13170262342882322       0.33402825705302064       1.7962034743461697        0.2318601812596968         
Check         All|All|All               All                   All      0.991962478112136          0.9974433613971101        -0.04585085966654079      -0.00026080927991595226    
Lambda        AB|PS|PS_z                6456.191479937633     All      -0.0001521921462920569     -2.826621857674532e-05    -0.0011543939619514608    -1.1148548883400185e-05    
Lambda        AB|PS|PS_g                3652.2613129888246    All      -0.0007162174300220587     0.0004933569409767449     -0.0005852962668728701    0.0003678790822271076      
Lambda        AB|PS|PS_i                5617.77258928037      All      4.5432435311728485e-05     3.455241737396257e-05     0.0008341107668940016     3.3678552810004016e-05     
Lambda        AB|PS|PS_r                4638.123930388212     All      -2.2759135944649272e-05    -9.093512920582639e-05    -0.0009227873385279056    -6.338692463827368e-05     
MWEBV         All|All|All               All                   All      -0.4837120830896837        -2.732643374578103        -0.12193642450353259      -0.7379923718714669        
Redshift      All|All|All               All                   All      3.9179740653213897         0.04888314858426668       -5.0367902954113415       -1.485059018634683         
