#Format:      
#Parameter    MagSys|Instrument|Band                   RestLamb              Phase    dmu/dP                     dmB/dP                    ds/dP                      dc/dP                      
Zeropoint     Linear_AB11_off|SWOPE|SWOPE_i            7410.826741085527     All      0.5022305726203965         -0.07442940018416166      0.5724236348390033         -0.16229248691583542       
Zeropoint     Linear_AB11_off|SWOPE|SWOPE_u            3502.9507679586563    All      -0.2624722885814405        0.10227623258565188       -0.014066119483491235      0.11818288690483847        
Zeropoint     Linear_AB11_off|SWOPE|SWOPE_V-LC-9844    5236.184359128244     All      0.508892243775739          0.2344871789251357        -0.534181265918865         -0.11322081377247162       
Zeropoint     Linear_AB11_off|SWOPE|SWOPE_B            4286.401514123512     All      -0.5842364364236272        0.36227201620722127       -0.14558958931500943       0.301811947522701          
Zeropoint     Linear_AB11_off|SWOPE|SWOPE_r            6061.266769561538     All      1.1954530093564253         -0.0908119743408875       -0.04074771886328765       -0.42079720559660694       
Zeropoint     Linear_AB11_off|SWOPE|SWOPE_g            4682.492111911833     All      -0.37263745754444355       0.46875592406587785       0.1677290383439889         0.28155448204021105        
Check         All|All|All                              All                   All      0.9872296432030497         1.0025499772588375        0.005567979602338902       0.005238810182836562       
Lambda        Linear_AB11_off|SWOPE|SWOPE_i            7410.826741085527     All      -9.90021109734559e-05      1.1345495363294613e-05    -0.0005443931378598938     1.165008027685507e-05      
Lambda        Linear_AB11_off|SWOPE|SWOPE_u            3502.9507679586563    All      -0.0005637992443961618     0.00019883668111596181    0.00010038329980794214     0.00025289525654260964     
Lambda        Linear_AB11_off|SWOPE|SWOPE_V-LC-9844    5236.184359128244     All      0.0002301204462632791      0.00010834751647714214    -0.0018258147623313094     -0.00012114317662069263    
Lambda        Linear_AB11_off|SWOPE|SWOPE_B            4286.401514123512     All      -0.00048228583239509013    0.000210088540161139      -0.00044433254872306685    0.0002057005906779052      
Lambda        Linear_AB11_off|SWOPE|SWOPE_r            6061.266769561538     All      5.726953168913175e-05      -1.533665754264329e-05    -0.0008332689801722344     -6.083519202455087e-05     
Lambda        Linear_AB11_off|SWOPE|SWOPE_g            4682.492111911833     All      -0.0002560351185481422     0.0001335748619685581     -0.0009273284643057884     8.552637814553985e-05      
MWEBV         All|All|All                              All                   All      -0.9433749100955087        -3.9398590577238934       0.03860205925277915        -0.9743308356712554        
Redshift      All|All|All                              All                   All      7.035329262807002          -0.8498624039546598       17.58461510963598          -1.7837457318376326        
