#Format:      
#Parameter    MagSys|Instrument|Band                   RestLamb              Phase    dmu/dP                    dmB/dP                     ds/dP                     dc/dP                      
Zeropoint     Linear_AB11_off|SWOPE|SWOPE_i            7410.826741085527     All      0.4187175564804133        -0.056742585822888714      0.34854499881058754       -0.13931904803460962       
Zeropoint     Linear_AB11_off|SWOPE|SWOPE_u            3502.9507679586563    All      -0.24606437346333432      0.0934320991902382         -0.0072366912098849505    0.11026222995368674        
Zeropoint     Linear_AB11_off|SWOPE|SWOPE_V-LC-9844    5236.184359128244     All      0.49860862451859267       0.24961907727494292        -0.5376504303319717       -0.10509695641665469       
Zeropoint     Linear_AB11_off|SWOPE|SWOPE_B            4286.401514123512     All      -0.5100923846000885       0.30969872343371563        -0.10733663721552017      0.26224299307338045        
Zeropoint     Linear_AB11_off|SWOPE|SWOPE_r            6061.266769561538     All      1.1271111875142727        -0.04554958230222894       0.05755776775230047       -0.37940565330111936       
Zeropoint     Linear_AB11_off|SWOPE|SWOPE_g            4682.492111911833     All      -0.29419064606791523      0.44757994584241345        0.24636361132250395       0.25261316177899407        
Check         All|All|All                              All                   All      0.9940899643819405        0.9980376776161926         0.0002426191280151535     0.00129672705367756        
Lambda        Linear_AB11_off|SWOPE|SWOPE_i            7410.826741085527     All      -5.594686536280695e-05    7.880997328076003e-06      -0.0003961993057281738    3.110279415675288e-06      
Lambda        Linear_AB11_off|SWOPE|SWOPE_u            3502.9507679586563    All      -0.0005736087648516861    0.00018707963081252834     -8.31121546920933e-05     0.00024407232262911975     
Lambda        Linear_AB11_off|SWOPE|SWOPE_V-LC-9844    5236.184359128244     All      0.00019133109983292496    7.970454404979619e-05      -0.0017349382980558893    -0.00011378276958201487    
Lambda        Linear_AB11_off|SWOPE|SWOPE_B            4286.401514123512     All      -0.0004075885958927263    0.00014499088009463297     -0.0007485877976783536    0.00014658727938287455     
Lambda        Linear_AB11_off|SWOPE|SWOPE_r            6061.266769561538     All      -1.773244790851861e-05    -1.2878107409857805e-06    -0.0006319074466264465    -2.284256775905223e-05     
Lambda        Linear_AB11_off|SWOPE|SWOPE_g            4682.492111911833     All      -0.0002138245572262604    3.992516901200054e-05      -0.0009864191780634005    3.863527649627853e-05      
MWEBV         All|All|All                              All                   All      -0.9966974390881225       -3.9178947536182562        0.042367158020635204      -0.9496394182023801        
Redshift      All|All|All                              All                   All      7.120172998712824         0.03349456906311943        17.50337824045147         -1.5272689285693333        
