#Format:      
#Parameter    MagSys|Instrument|Band    RestLamb              Phase    dmu/dP                     dmB/dP                    ds/dP                      dc/dP                      
Zeropoint     AB|PS|PS_g                3946.9640524150605    All      -0.6255286254627436        0.5136220369738709        0.05174474257295561        0.37336797790524734        
Zeropoint     AB|PS|PS_z                6977.144706540389     All      0.7065725589436646         -0.08204452540727658      0.13405962262747606        -0.2508960638602531        
Zeropoint     AB|PS|PS_i                6071.073388335109     All      1.1238028665153328         0.08602011877005822       0.07474196943461511        -0.33470459216049914       
Zeropoint     AB|PS|PS_r                5012.376403293884     All      -0.20867077711373405       0.4812057173511519        -0.2602669510483736        0.21310095184731556        
Check         All|All|All               All                   All      0.9961760228825199         0.9988033476878044        0.0002793835866731764      0.0008682737318106704      
Lambda        AB|PS|PS_g                3946.9640524150605    All      -0.0005548654229073553     0.0004611819130604814     4.421269526034046e-05      0.000332933053817102       
Lambda        AB|PS|PS_z                6977.144706540389     All      -0.000323384810892914      7.984974870912872e-06     -0.00030704408487297814    9.42360736600094e-05       
Lambda        AB|PS|PS_i                6071.073388335109     All      -0.0001629294589575576     -6.47250961106861e-05     -0.0008836963103391915     -7.4469158532891716e-06    
Lambda        AB|PS|PS_r                5012.376403293884     All      -0.00038379891272069896    2.4163378780240635e-05    -0.00153210241259098       6.451604592051314e-05      
MWEBV         All|All|All               All                   All      -0.5020031926468227        -3.1037622971501477       -0.003259742612450711      -0.8476240030101729        
Redshift      All|All|All               All                   All      6.965846465804022          -0.5277404321253343       3.8811745775517275         -2.2677087885357556        
