#Format:      
#Parameter    MagSys|Instrument|Band    RestLamb              Phase    dmu/dP                     dmB/dP                    ds/dP                      dc/dP                    
Zeropoint     AB|PS|PS_g                3946.9640524150605    All      -0.616712156654212         0.4667640029468956        -0.09575339486713186       0.3486507962554758       
Zeropoint     AB|PS|PS_z                6977.144706540389     All      0.650429400932957          -0.059046009330465665     0.15855745349727113        -0.22402379124895655     
Zeropoint     AB|PS|PS_i                6071.073388335109     All      1.140294213002577          0.11422566011720647       0.208766501274546          -0.3249079942054586      
Zeropoint     AB|PS|PS_r                5012.376403293884     All      -0.17866729445708174       0.47688810237573875       -0.2731199450154098        0.20134787112889557      
Check         All|All|All               All                   All      0.9953441628242402         0.9988317561093751        -0.0015493851107245549     0.0010668819299562426    
Lambda        AB|PS|PS_g                3946.9640524150605    All      -0.0005081222184871478     0.00046232020687857157    9.753990001028157e-05      0.0003204577823019961    
Lambda        AB|PS|PS_z                6977.144706540389     All      -0.00033202445544047406    8.459227524209201e-07     -0.00029584301819326445    9.522471814345855e-05    
Lambda        AB|PS|PS_i                6071.073388335109     All      -0.00016774018976826983    -5.716852748926379e-05    -0.0008478094944913931     -1.81701578707323e-06    
Lambda        AB|PS|PS_r                5012.376403293884     All      -0.0003972099504890385     1.8999841535186244e-05    -0.0014444907388219234     7.111223479010463e-05    
MWEBV         All|All|All               All                   All      -0.5022476701774816        -3.1024611712672012       -0.0013579944851904724     -0.8470356828450133      
Redshift      All|All|All               All                   All      7.501217138941549          -0.23950918466066895      5.002456709303021          -2.2981725584455064      
