#Format:      
#Parameter    MagSys|Instrument|Band    RestLamb              Phase    dmu/dP                     dmB/dP                     ds/dP                     dc/dP                      
Zeropoint     AB|PS|PS_i                6086.221752391644     All      0.6536132836069197         0.025456143814039933       -1.1527201508955476       -0.25605205226891525       
Zeropoint     AB|PS|PS_g                3956.8124012258195    All      -0.8206074877458925        0.5263882717134294         -0.1366474549303498       0.4326628853856235         
Zeropoint     AB|PS|PS_z                6994.553873145569     All      0.7441224987616712         -0.009874153428235388      0.605753420020716         -0.21856952236060864       
Zeropoint     AB|PS|PS_r                5024.883137719361     All      0.4143597081568281         0.4555100727728245         0.6675495050311508        0.043193696027773315       
Check         All|All|All               All                   All      0.9914880027795264         0.9974803348720584         -0.01606468077403056      0.001235006783872894       
Lambda        AB|PS|PS_i                6086.221752391644     All      -5.634623403654315e-05     -2.5971922872242546e-05    -0.0008351666076656591    -2.7375737487262117e-05    
Lambda        AB|PS|PS_g                3956.8124012258195    All      -0.00044010634810782686    0.0002852301787511415      -5.931866880041985e-05    0.0002336188499131306      
Lambda        AB|PS|PS_z                6994.553873145569     All      -0.0003994504547044772     -7.30714035080526e-06      -0.0007070009614748309    9.618377284417594e-05      
Lambda        AB|PS|PS_r                5024.883137719361     All      -0.0007229380835012721     -0.0001031235982100682     -0.002571640847633566     8.713344923954569e-05      
MWEBV         All|All|All               All                   All      -0.5067263586291042        -3.1023736038687133        0.036168233992983634      -0.8438736798640295        
Redshift      All|All|All               All                   All      9.205670786832647          0.545724152016902          14.474027577111126        -2.174920148778997         
