#Format:      
#Parameter    MagSys|Instrument|Band    RestLamb              Phase    dmu/dP                     dmB/dP                    ds/dP                      dc/dP                     
Zeropoint     AB|PS|PS_i                6086.221752391644     All      0.7355051519428284         0.06807885993147522       -0.7152230857692066        -0.2493198223979591       
Zeropoint     AB|PS|PS_g                3956.8124012258195    All      -0.8753003351676235        0.5592383145259561        -0.08635516497391496       0.4634227987270858        
Zeropoint     AB|PS|PS_z                6994.553873145569     All      0.7198743304689941         -0.014626877716850117     0.5741500259063115         -0.2136295291976155       
Zeropoint     AB|PS|PS_r                5024.883137719361     All      0.41622364736741           0.3837800058459351        0.2095029843905121         -0.0012188054267018907    
Check         All|All|All               All                   All      0.9963027946116089         0.9964703025865163        -0.017925240446297924      -0.0007453582951906842    
Lambda        AB|PS|PS_i                6086.221752391644     All      -4.175946327423011e-05     -2.570046574432734e-05    -0.0008546977536373983     -3.291029143922502e-05    
Lambda        AB|PS|PS_g                3956.8124012258195    All      -0.0005795515828068723     0.00037149314507297276    -3.0111354674501984e-05    0.0003084428248499799     
Lambda        AB|PS|PS_z                6994.553873145569     All      -0.00039436636613064837    -5.955922408444104e-06    -0.0006383368448712906     9.803201823284607e-05     
Lambda        AB|PS|PS_r                5024.883137719361     All      -0.000591824755797498      -8.730889490533042e-05    -0.0021146174089689447     6.997175109557722e-05     
MWEBV         All|All|All               All                   All      -0.502394623502953         -3.105523099866403        0.0317554360979596         -0.8465074858690651       
Redshift      All|All|All               All                   All      9.304430762793274          0.3430862810230195        14.050024583407062         -2.292016649460419        
